v1	V(in)	Ic(Q1)	Ic(Q2)
-1.000000000000000e+000	-2.000002e-001	4.909269e-007	9.893879e-004
-9.900000000000000e-001	-1.980002e-001	5.303470e-007	9.893477e-004
-9.800000000000000e-001	-1.960002e-001	5.729302e-007	9.893044e-004
-9.700000000000000e-001	-1.940002e-001	6.189298e-007	9.892576e-004
-9.600000000000000e-001	-1.920002e-001	6.686197e-007	9.892071e-004
-9.500000000000000e-001	-1.900002e-001	7.222952e-007	9.891525e-004
-9.400000000000000e-001	-1.880002e-001	7.802756e-007	9.890936e-004
-9.299999999999999e-001	-1.860002e-001	8.429052e-007	9.890300e-004
-9.199999999999999e-001	-1.840003e-001	9.105561e-007	9.889613e-004
-9.099999999999999e-001	-1.820003e-001	9.836299e-007	9.888872e-004
-8.999999999999999e-001	-1.800003e-001	1.062560e-006	9.888071e-004
-8.899999999999999e-001	-1.780003e-001	1.147815e-006	9.887207e-004
-8.799999999999999e-001	-1.760003e-001	1.239900e-006	9.886273e-004
-8.699999999999999e-001	-1.740003e-001	1.339360e-006	9.885266e-004
-8.599999999999999e-001	-1.720003e-001	1.446783e-006	9.884179e-004
-8.499999999999999e-001	-1.700004e-001	1.562806e-006	9.883004e-004
-8.399999999999999e-001	-1.680004e-001	1.688113e-006	9.881736e-004
-8.299999999999999e-001	-1.660004e-001	1.823444e-006	9.880369e-004
-8.199999999999998e-001	-1.640004e-001	1.969597e-006	9.878891e-004
-8.099999999999998e-001	-1.620005e-001	2.127434e-006	9.877296e-004
-7.999999999999998e-001	-1.600005e-001	2.297882e-006	9.875575e-004
-7.899999999999998e-001	-1.580005e-001	2.481944e-006	9.873715e-004
-7.799999999999998e-001	-1.560006e-001	2.680699e-006	9.871710e-004
-7.699999999999998e-001	-1.540006e-001	2.895313e-006	9.869544e-004
-7.599999999999998e-001	-1.520006e-001	3.127041e-006	9.867207e-004
-7.499999999999998e-001	-1.500007e-001	3.377237e-006	9.864683e-004
-7.399999999999998e-001	-1.480007e-001	3.647358e-006	9.861960e-004
-7.299999999999998e-001	-1.460007e-001	3.938978e-006	9.859020e-004
-7.199999999999998e-001	-1.440008e-001	4.253789e-006	9.855848e-004
-7.099999999999997e-001	-1.420008e-001	4.593615e-006	9.852425e-004
-6.999999999999997e-001	-1.400009e-001	4.960419e-006	9.848732e-004
-6.899999999999997e-001	-1.380010e-001	5.356315e-006	9.844746e-004
-6.799999999999997e-001	-1.360010e-001	5.783577e-006	9.840445e-004
-6.699999999999997e-001	-1.340011e-001	6.244654e-006	9.835806e-004
-6.599999999999997e-001	-1.320011e-001	6.742176e-006	9.830801e-004
-6.499999999999997e-001	-1.300012e-001	7.278974e-006	9.825402e-004
-6.399999999999997e-001	-1.280013e-001	7.858087e-006	9.819579e-004
-6.299999999999997e-001	-1.260014e-001	8.482783e-006	9.813299e-004
-6.199999999999997e-001	-1.240014e-001	9.156566e-006	9.806528e-004
-6.099999999999997e-001	-1.220015e-001	9.883202e-006	9.799226e-004
-5.999999999999996e-001	-1.200016e-001	1.066673e-005	9.791354e-004
-5.899999999999996e-001	-1.180017e-001	1.151147e-005	9.782870e-004
-5.799999999999996e-001	-1.160018e-001	1.242206e-005	9.773725e-004
-5.699999999999996e-001	-1.140019e-001	1.340347e-005	9.763871e-004
-5.599999999999996e-001	-1.120021e-001	1.446100e-005	9.753256e-004
-5.499999999999996e-001	-1.100022e-001	1.560033e-005	9.741820e-004
-5.399999999999996e-001	-1.080023e-001	1.682752e-005	9.729506e-004
-5.299999999999996e-001	-1.060025e-001	1.814903e-005	9.716247e-004
-5.199999999999996e-001	-1.040026e-001	1.957177e-005	9.701976e-004
-5.099999999999996e-001	-1.020028e-001	2.110307e-005	9.686617e-004
-4.999999999999996e-001	-1.000030e-001	2.275073e-005	9.670094e-004
-4.899999999999996e-001	-9.800313e-002	2.452306e-005	9.652324e-004
-4.799999999999995e-001	-9.600333e-002	2.642884e-005	9.633218e-004
-4.699999999999995e-001	-9.400354e-002	2.847741e-005	9.612684e-004
-4.599999999999995e-001	-9.200376e-002	3.067860e-005	9.590624e-004
-4.499999999999995e-001	-9.000399e-002	3.304281e-005	9.566932e-004
-4.399999999999995e-001	-8.800424e-002	3.558101e-005	9.541500e-004
-4.299999999999995e-001	-8.600450e-002	3.830472e-005	9.514214e-004
-4.199999999999995e-001	-8.400478e-002	4.122602e-005	9.484951e-004
-4.099999999999995e-001	-8.200508e-002	4.435757e-005	9.453587e-004
-3.999999999999995e-001	-8.000539e-002	4.771256e-005	9.419987e-004
-3.899999999999995e-001	-7.800573e-002	5.130475e-005	9.384017e-004
-3.799999999999995e-001	-7.600608e-002	5.514836e-005	9.345533e-004
-3.699999999999994e-001	-7.400645e-002	5.925816e-005	9.304387e-004
-3.599999999999994e-001	-7.200685e-002	6.364931e-005	9.260430e-004
-3.499999999999994e-001	-7.000727e-002	6.833739e-005	9.213504e-004
-3.399999999999994e-001	-6.800772e-002	7.333828e-005	9.163452e-004
-3.299999999999994e-001	-6.600818e-002	7.866812e-005	9.110112e-004
-3.199999999999994e-001	-6.400868e-002	8.434321e-005	9.053321e-004
-3.099999999999994e-001	-6.200920e-002	9.037992e-005	8.992917e-004
-2.999999999999994e-001	-6.000975e-002	9.679451e-005	8.928735e-004
-2.899999999999994e-001	-5.801033e-002	1.036031e-004	8.860616e-004
-2.799999999999994e-001	-5.601094e-002	1.108214e-004	8.788403e-004
-2.699999999999994e-001	-5.401158e-002	1.184647e-004	8.711942e-004
-2.599999999999993e-001	-5.201225e-002	1.265476e-004	8.631090e-004
-2.499999999999993e-001	-5.001296e-002	1.350837e-004	8.545708e-004
-2.399999999999993e-001	-4.801370e-002	1.440856e-004	8.455670e-004
-2.299999999999993e-001	-4.601448e-002	1.535646e-004	8.360865e-004
-2.199999999999993e-001	-4.401529e-002	1.635307e-004	8.261193e-004
-2.099999999999993e-001	-4.201614e-002	1.739918e-004	8.156574e-004
-1.999999999999993e-001	-4.001702e-002	1.849541e-004	8.046946e-004
-1.899999999999993e-001	-3.801795e-002	1.964217e-004	7.932269e-004
-1.799999999999993e-001	-3.601890e-002	2.083960e-004	7.812527e-004
-1.699999999999993e-001	-3.401990e-002	2.208761e-004	7.687731e-004
-1.599999999999993e-001	-3.202093e-002	2.338583e-004	7.557916e-004
-1.499999999999993e-001	-3.002200e-002	2.473359e-004	7.423148e-004
-1.399999999999992e-001	-2.802310e-002	2.612992e-004	7.283527e-004
-1.299999999999992e-001	-2.602423e-002	2.757353e-004	7.139178e-004
-1.199999999999992e-001	-2.402540e-002	2.906281e-004	6.990265e-004
-1.099999999999992e-001	-2.202661e-002	3.059584e-004	6.836977e-004
-9.999999999999924e-002	-2.002784e-002	3.217034e-004	6.679543e-004
-8.999999999999925e-002	-1.802910e-002	3.378374e-004	6.518218e-004
-7.999999999999925e-002	-1.603038e-002	3.543316e-004	6.353291e-004
-6.999999999999926e-002	-1.403170e-002	3.711542e-004	6.185080e-004
-5.999999999999926e-002	-1.203303e-002	3.882705e-004	6.013930e-004
-4.999999999999925e-002	-1.003438e-002	4.056437e-004	5.840210e-004
-3.999999999999925e-002	-8.035752e-003	4.232343e-004	5.664314e-004
-2.999999999999925e-002	-6.037136e-003	4.410013e-004	5.486652e-004
-1.999999999999925e-002	-4.038530e-003	4.589019e-004	5.307652e-004
-9.999999999999247e-003	-2.039931e-003	4.768920e-004	5.127754e-004
7.528699885739343e-016	-4.133767e-005	4.949269e-004	4.947405e-004
1.000000000000075e-002	1.957255e-003	5.129615e-004	4.767057e-004
2.000000000000075e-002	3.955850e-003	5.309504e-004	4.587163e-004
3.000000000000076e-002	5.954451e-003	5.488491e-004	4.408169e-004
4.000000000000076e-002	7.953061e-003	5.666134e-004	4.230516e-004
5.000000000000076e-002	9.951682e-003	5.842008e-004	4.054630e-004
6.000000000000076e-002	1.195032e-002	6.015700e-004	3.880925e-004
7.000000000000076e-002	1.394897e-002	6.186818e-004	3.709791e-004
8.000000000000075e-002	1.594765e-002	6.354994e-004	3.541599e-004
9.000000000000075e-002	1.794635e-002	6.519881e-004	3.376695e-004
1.000000000000007e-001	1.994508e-002	6.681163e-004	3.215396e-004
1.100000000000007e-001	2.194383e-002	6.838551e-004	3.057990e-004
1.200000000000007e-001	2.394262e-002	6.991791e-004	2.904734e-004
1.300000000000007e-001	2.594143e-002	7.140654e-004	2.755854e-004
1.400000000000007e-001	2.794029e-002	7.284950e-004	2.611543e-004
1.500000000000007e-001	2.993917e-002	7.424518e-004	2.471963e-004
1.600000000000008e-001	3.193810e-002	7.559230e-004	2.337240e-004
