v1	V(coll)	V(e)
0,000000000000000e+000	1,000000e+001	2,768381e-011
5,000000000000000e-002	1,000000e+001	1,353109e-010
1,000000000000000e-001	1,000000e+001	1,419918e-009
1,500000000000000e-001	1,000000e+001	8,989841e-009
2,000000000000000e-001	1,000000e+001	5,973932e-008
2,500000000000000e-001	9,999999e+000	4,027576e-007
3,000000000000000e-001	9,999991e+000	2,726683e-006
3,500000000000000e-001	9,999939e+000	1,847423e-005
4,000000000000000e-001	9,999590e+000	1,246648e-004
4,500000000000000e-001	9,997314e+000	8,165041e-004
4,999999999999999e-001	9,984918e+000	4,585028e-003
5,499999999999999e-001	9,944680e+000	1,681609e-002
6,000000000000000e-001	9,873481e+000	3,845840e-002
6,500000000000000e-001	9,783129e+000	6,592234e-002
7,000000000000001e-001	9,682581e+000	9,648583e-002
7,500000000000001e-001	9,576362e+000	1,287735e-001
8,000000000000002e-001	9,466089e+000	1,622935e-001
8,500000000000002e-001	9,353368e+000	1,965584e-001
9,000000000000002e-001	9,238953e+000	2,313388e-001
9,500000000000003e-001	9,123277e+000	2,665027e-001
1,000000000000000e+000	9,006651e+000	3,019559e-001
1,050000000000000e+000	8,889298e+000	3,376305e-001
1,100000000000000e+000	8,771382e+000	3,734771e-001
1,150000000000000e+000	8,653025e+000	4,094584e-001
1,200000000000000e+000	8,534321e+000	4,455456e-001
1,250000000000000e+000	8,415344e+000	4,817162e-001
1,300000000000001e+000	8,296154e+000	5,179523e-001
1,350000000000001e+000	8,176799e+000	5,542391e-001
1,400000000000001e+000	8,057319e+000	5,905646e-001
1,450000000000001e+000	7,937747e+000	6,269187e-001
1,500000000000001e+000	7,818110e+000	6,632929e-001
1,550000000000001e+000	7,698432e+000	6,996802e-001
1,600000000000001e+000	7,578734e+000	7,360741e-001
1,650000000000001e+000	7,459034e+000	7,724696e-001
1,700000000000001e+000	7,339347e+000	8,088617e-001
1,750000000000001e+000	7,219686e+000	8,452465e-001
1,800000000000001e+000	7,100063e+000	8,816203e-001
1,850000000000001e+000	6,980489e+000	9,179800e-001
1,900000000000001e+000	6,860973e+000	9,543225e-001
1,950000000000001e+000	6,741524e+000	9,906453e-001
2,000000000000001e+000	6,622149e+000	1,026946e+000
2,050000000000001e+000	6,502855e+000	1,063223e+000
2,100000000000001e+000	6,383650e+000	1,099474e+000
2,150000000000000e+000	6,264538e+000	1,135697e+000
2,200000000000000e+000	6,145525e+000	1,171890e+000
2,250000000000000e+000	6,026615e+000	1,208053e+000
2,300000000000000e+000	5,907814e+000	1,244184e+000
2,350000000000000e+000	5,789125e+000	1,280281e+000
2,400000000000000e+000	5,670553e+000	1,316343e+000
2,449999999999999e+000	5,552101e+000	1,352369e+000
2,499999999999999e+000	5,433772e+000	1,388359e+000
2,549999999999999e+000	5,315570e+000	1,424311e+000
2,599999999999999e+000	5,197497e+000	1,460224e+000
2,649999999999999e+000	5,079557e+000	1,496097e+000
2,699999999999998e+000	4,961752e+000	1,531930e+000
2,749999999999998e+000	4,844085e+000	1,567722e+000
2,799999999999998e+000	4,726558e+000	1,603472e+000
2,849999999999998e+000	4,609173e+000	1,639180e+000
2,899999999999998e+000	4,491933e+000	1,674844e+000
2,949999999999998e+000	4,374840e+000	1,710464e+000
2,999999999999997e+000	4,257895e+000	1,746040e+000
3,049999999999997e+000	4,141101e+000	1,781571e+000
3,099999999999997e+000	4,024459e+000	1,817056e+000
3,149999999999997e+000	3,907971e+000	1,852495e+000
3,199999999999997e+000	3,791640e+000	1,887887e+000
3,249999999999996e+000	3,675465e+000	1,923233e+000
3,299999999999996e+000	3,559450e+000	1,958530e+000
3,349999999999996e+000	3,443595e+000	1,993779e+000
3,399999999999996e+000	3,327903e+000	2,028980e+000
3,449999999999996e+000	3,212374e+000	2,064132e+000
3,499999999999996e+000	3,097010e+000	2,099235e+000
3,549999999999995e+000	2,981812e+000	2,134287e+000
3,599999999999995e+000	2,866782e+000	2,169290e+000
3,649999999999995e+000	2,751921e+000	2,204242e+000
3,699999999999995e+000	2,637303e+000	2,239120e+000
3,749999999999995e+000	2,530441e+000	2,271673e+000
3,799999999999995e+000	2,482418e+000	2,286574e+000
3,849999999999994e+000	2,465488e+000	2,292148e+000
3,899999999999994e+000	2,454934e+000	2,295809e+000
3,949999999999994e+000	2,448939e+000	2,298102e+000
3,999999999999994e+000	2,444531e+000	2,299918e+000
4,049999999999994e+000	2,440725e+000	2,301555e+000
4,099999999999993e+000	2,437569e+000	2,302997e+000
4,149999999999993e+000	2,434925e+000	2,304284e+000
4,199999999999993e+000	2,432662e+000	2,305458e+000
4,249999999999993e+000	2,430696e+000	2,306542e+000
4,299999999999993e+000	2,428969e+000	2,307555e+000
4,349999999999993e+000	2,427438e+000	2,308509e+000
4,399999999999992e+000	2,426069e+000	2,309414e+000
4,449999999999992e+000	2,424838e+000	2,310278e+000
4,499999999999992e+000	2,423726e+000	2,311106e+000
4,549999999999992e+000	2,422717e+000	2,311904e+000
4,599999999999992e+000	2,421797e+000	2,312675e+000
4,649999999999992e+000	2,420956e+000	2,313421e+000
4,699999999999991e+000	2,420186e+000	2,314147e+000
4,749999999999991e+000	2,419478e+000	2,314854e+000
4,799999999999991e+000	2,418827e+000	2,315544e+000
4,849999999999991e+000	2,418227e+000	2,316219e+000
4,899999999999991e+000	2,417674e+000	2,316880e+000
4,949999999999990e+000	2,417163e+000	2,317528e+000
4,999999999999990e+000	2,416691e+000	2,318164e+000
5,049999999999990e+000	2,416254e+000	2,318789e+000
5,099999999999990e+000	2,415851e+000	2,319405e+000
5,149999999999990e+000	2,415478e+000	2,320012e+000
5,199999999999990e+000	2,415133e+000	2,320610e+000
5,249999999999989e+000	2,414815e+000	2,321200e+000
5,299999999999989e+000	2,414521e+000	2,321783e+000
5,349999999999989e+000	2,414250e+000	2,322358e+000
5,399999999999989e+000	2,414001e+000	2,322928e+000
5,449999999999989e+000	2,413772e+000	2,323491e+000
5,499999999999989e+000	2,413562e+000	2,324049e+000
5,549999999999988e+000	2,413369e+000	2,324601e+000
5,599999999999988e+000	2,413194e+000	2,325149e+000
5,649999999999988e+000	2,413035e+000	2,325691e+000
5,699999999999988e+000	2,412891e+000	2,326229e+000
5,749999999999988e+000	2,412761e+000	2,326763e+000
5,799999999999987e+000	2,412645e+000	2,327292e+000
5,849999999999987e+000	2,412541e+000	2,327818e+000
5,899999999999987e+000	2,412450e+000	2,328340e+000
5,949999999999987e+000	2,412371e+000	2,328858e+000
