vb	V(col)	V(em)
0,000000000000000e+000	1,000000e+001	5,536372e-011
5,000000000000000e-002	1,000000e+001	2,706140e-010
1,000000000000000e-001	1,000000e+001	2,839745e-009
1,500000000000000e-001	1,000000e+001	1,797909e-008
2,000000000000000e-001	1,000000e+001	1,194747e-007
2,500000000000000e-001	9,999999e+000	8,054848e-007
3,000000000000000e-001	9,999991e+000	5,452894e-006
3,500000000000000e-001	9,999945e+000	3,693106e-005
4,000000000000000e-001	9,999628e+000	2,485249e-004
4,500000000000000e-001	9,997610e+000	1,598777e-003
4,999999999999999e-001	9,987514e+000	8,351175e-003
5,499999999999999e-001	9,959356e+000	2,718083e-002
6,000000000000000e-001	9,914416e+000	5,723383e-002
6,500000000000000e-001	9,859764e+000	9,378092e-002
7,000000000000001e-001	9,799868e+000	1,338359e-001
7,500000000000001e-001	9,736948e+000	1,759123e-001
8,000000000000002e-001	9,671841e+000	2,194519e-001
8,500000000000002e-001	9,605351e+000	2,639163e-001
9,000000000000002e-001	9,537869e+000	3,090446e-001
9,500000000000003e-001	9,469627e+000	3,546824e-001
1,000000000000000e+000	9,400788e+000	4,007193e-001
1,050000000000000e+000	9,331472e+000	4,470757e-001
1,100000000000000e+000	9,261767e+000	4,936929e-001
1,150000000000000e+000	9,191739e+000	5,405268e-001
1,200000000000000e+000	9,121438e+000	5,875434e-001
1,250000000000000e+000	9,050905e+000	6,347159e-001
1,300000000000001e+000	8,980172e+000	6,820226e-001
1,350000000000001e+000	8,909266e+000	7,294461e-001
1,400000000000001e+000	8,838206e+000	7,769721e-001
1,450000000000001e+000	8,767013e+000	8,245886e-001
1,500000000000001e+000	8,695700e+000	8,722855e-001
1,550000000000001e+000	8,624280e+000	9,200544e-001
1,600000000000001e+000	8,552765e+000	9,678878e-001
1,650000000000001e+000	8,481163e+000	1,015779e+000
1,700000000000001e+000	8,409484e+000	1,063724e+000
1,750000000000001e+000	8,337733e+000	1,111717e+000
1,800000000000001e+000	8,265918e+000	1,159753e+000
1,850000000000001e+000	8,194044e+000	1,207829e+000
1,900000000000001e+000	8,122115e+000	1,255943e+000
1,950000000000001e+000	8,050138e+000	1,304090e+000
2,000000000000001e+000	7,978114e+000	1,352268e+000
2,050000000000001e+000	7,906048e+000	1,400475e+000
2,100000000000001e+000	7,833943e+000	1,448709e+000
2,150000000000000e+000	7,761802e+000	1,496968e+000
2,200000000000000e+000	7,689627e+000	1,545250e+000
2,250000000000000e+000	7,617422e+000	1,593553e+000
2,300000000000000e+000	7,545187e+000	1,641876e+000
2,350000000000000e+000	7,472926e+000	1,690218e+000
2,400000000000000e+000	7,400640e+000	1,738577e+000
2,449999999999999e+000	7,328330e+000	1,786952e+000
2,499999999999999e+000	7,255999e+000	1,835343e+000
2,549999999999999e+000	7,183647e+000	1,883747e+000
2,599999999999999e+000	7,111277e+000	1,932166e+000
2,649999999999999e+000	7,038889e+000	1,980596e+000
2,699999999999998e+000	6,966485e+000	2,029038e+000
2,749999999999998e+000	6,894065e+000	2,077492e+000
2,799999999999998e+000	6,821630e+000	2,125955e+000
2,849999999999998e+000	6,749183e+000	2,174428e+000
