time	V(pwm)	V(tri)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000013351432e-010	1.290653e+000	1.361278e+000
1.125000015020361e-010	1.296397e+000	1.375202e+000
1.330772108350580e-010	1.079328e+000	1.169634e+000
1.542954443811976e-010	8.635569e-001	9.603603e-001
1.875626155357815e-010	5.579678e-001	6.486116e-001
2.103194443060155e-010	3.955878e-001	4.684014e-001
2.334809002513887e-010	2.891245e-001	3.378022e-001
2.552924658450075e-010	2.290936e-001	2.604699e-001
2.746170978054512e-010	1.964884e-001	2.190188e-001
2.958592044760957e-010	1.725297e-001	1.897705e-001
3.187314562109447e-010	1.542578e-001	1.683014e-001
3.487732009295977e-010	1.370325e-001	1.487831e-001
3.837236611914531e-010	1.225613e-001	1.329315e-001
4.288912301474041e-010	1.091386e-001	1.187157e-001
4.823823723719927e-010	9.770861e-002	1.069914e-001
5.521238884687756e-010	8.707287e-002	9.642105e-002
6.369020257794291e-010	7.792505e-002	8.759437e-002
7.477063297941793e-010	6.969301e-002	7.986123e-002
8.843725274502127e-010	6.301015e-002	7.370298e-002
1.058620197751076e-009	5.791363e-002	6.903626e-002
1.271430721560979e-009	5.487108e-002	6.620555e-002
1.536936761947509e-009	5.401469e-002	6.534149e-002
1.855473714846483e-009	5.545529e-002	6.668474e-002
2.260050436046876e-009	5.942890e-002	7.069211e-002
2.788809562760589e-009	6.663691e-002	7.833719e-002
3.558976179320470e-009	7.957091e-002	9.251467e-002
4.704139340180148e-009	1.017310e-001	1.172943e-001
5.914315719507848e-009	1.271542e-001	1.462212e-001
7.398351970803411e-009	1.589331e-001	1.831874e-001
9.081580728022881e-009	1.934008e-001	2.245173e-001
1.081421211341428e-008	2.251237e-001	2.643808e-001
1.323007773175375e-008	2.617489e-001	3.140061e-001
1.623917687505974e-008	2.981159e-001	3.684390e-001
1.755604819871789e-008	3.105913e-001	3.895528e-001
1.839354942933054e-008	3.169956e-001	4.018120e-001
1.890479134746152e-008	3.204139e-001	4.089438e-001
1.954066245602934e-008	3.242808e-001	4.175500e-001
1.969963023317130e-008	3.251797e-001	4.196566e-001
1.991553965064330e-008	3.263367e-001	4.224763e-001
2.005489167715264e-008	3.270610e-001	4.242820e-001
2.023061358317944e-008	3.279420e-001	4.265389e-001
2.042021797242071e-008	3.288503e-001	4.289482e-001
2.079942675090325e-008	3.305475e-001	4.336953e-001
2.132842464955552e-008	3.327098e-001	4.401984e-001
2.183041986238333e-008	3.345084e-001	4.462282e-001
