vbg	V(b,a)
	0,000000e+000	0,000000e+000
	1,000000e-002	0,000000e+000
	2,000000e-002	0,000000e+000
	3,000000e-002	0,000000e+000
	4,000000e-002	0,000000e+000
	5,000000e-002	0,000000e+000
	6,000000e-002	0,000000e+000
	7,000000e-002	0,000000e+000
	8,000000e-002	0,000000e+000
	9,000000e-002	0,000000e+000
	1,000000e-001	0,000000e+000
	1,100000e-001	0,000000e+000
	1,200000e-001	0,000000e+000
	1,300000e-001	0,000000e+000
	1,400000e-001	0,000000e+000
	1,500000e-001	0,000000e+000
	1,600000e-001	0,000000e+000
	1,700000e-001	0,000000e+000
	1,800000e-001	0,000000e+000
	1,900000e-001	0,000000e+000
	2,000000e-001	0,000000e+000
	2,100000e-001	-9,536743e-007
	2,200000e-001	-9,536743e-007
	2,300000e-001	-9,536743e-007
	2,400000e-001	-9,536743e-007
	2,500000e-001	-1,907349e-006
	2,600000e-001	-2,861023e-006
	2,700000e-001	-3,814697e-006
	2,800000e-001	-4,768372e-006
	2,900000e-001	-7,629395e-006
	3,000000e-001	-1,144409e-005
	3,100000e-001	-1,621246e-005
	3,200000e-001	-2,288818e-005
	3,300000e-001	-3,433228e-005
	3,400000e-001	-5,054474e-005
	3,500000e-001	-7,343292e-005
	3,600000e-001	-1,087189e-004
	3,700000e-001	-1,602173e-004
	3,800000e-001	-2,355576e-004
	3,900000e-001	-3,461838e-004
	4,000000e-001	-5,083084e-004
	4,100000e-001	-7,457733e-004
	4,200000e-001	-1,091957e-003
	4,300000e-001	-1,596451e-003
	4,400000e-001	-2,326012e-003
	4,500000e-001	-3,376007e-003
	4,600000e-001	-4,870415e-003
	4,700000e-001	-6,967545e-003
	4,800000e-001	-9,861946e-003
	4,900000e-001	-1,376057e-002
	5,000000e-001	-1,886368e-002
	5,100000e-001	-2,532196e-002
	5,200000e-001	-3,319550e-002
	5,300000e-001	-4,242706e-002
	5,400000e-001	-5,284214e-002
	5,500000e-001	-6,417370e-002
	5,600000e-001	-7,610321e-002
	5,700000e-001	-8,830738e-002
	5,800000e-001	-1,004868e-001
	5,900000e-001	-1,123924e-001
	6,000000e-001	-1,238298e-001
	6,100000e-001	-1,346560e-001
	6,200000e-001	-1,447763e-001
	6,300000e-001	-1,541357e-001
	6,400000e-001	-1,627073e-001
	6,500000e-001	-1,704893e-001
	6,600000e-001	-1,774921e-001
	6,700000e-001	-1,837425e-001
	6,800000e-001	-1,892662e-001
	6,900000e-001	-1,940994e-001
	7,000000e-001	-1,982775e-001
	7,100000e-001	-2,018375e-001
	7,200000e-001	-2,048140e-001
	7,300000e-001	-2,072430e-001
	7,400000e-001	-2,091560e-001
	7,500000e-001	-2,105846e-001
	7,600000e-001	-2,115602e-001
	7,700000e-001	-2,121086e-001
	7,800000e-001	-2,122545e-001
	7,900000e-001	-2,120237e-001
	8,000000e-001	-2,114372e-001
	8,100000e-001	-2,105169e-001
	8,200000e-001	-2,092810e-001
	8,300000e-001	-2,077475e-001
	8,400000e-001	-2,059326e-001
	8,500000e-001	-2,038517e-001
	8,600000e-001	-2,015190e-001
	8,700000e-001	-1,989479e-001
	8,800000e-001	-1,961517e-001
	8,900000e-001	-1,931391e-001
	9,000000e-001	-1,899233e-001
	9,100000e-001	-1,865129e-001
	9,200000e-001	-1,829166e-001
	9,300000e-001	-1,791449e-001
	9,400000e-001	-1,752052e-001
	9,500000e-001	-1,711044e-001
	9,600000e-001	-1,668510e-001
	9,700000e-001	-1,624508e-001
	9,800000e-001	-1,579094e-001
	9,900000e-001	-1,532335e-001
	1,000000e+000	-1,484289e-001
	1,010000e+000	-1,435003e-001
	1,020000e+000	-1,384535e-001
	1,030000e+000	-1,332922e-001
	1,040000e+000	-1,280212e-001
	1,050000e+000	-1,226444e-001
	1,060000e+000	-1,171656e-001
	1,070000e+000	-1,115894e-001
	1,080000e+000	-1,059179e-001
	1,090000e+000	-1,001568e-001
	1,100000e+000	-9,430695e-002
	1,110000e+000	-8,837223e-002
	1,120000e+000	-8,235550e-002
	1,130000e+000	-7,625961e-002
	1,140000e+000	-7,008648e-002
	1,150000e+000	-6,384087e-002
	1,160000e+000	-5,752182e-002
	1,170000e+000	-5,113316e-002
	1,180000e+000	-4,467869e-002
	1,190000e+000	-3,815842e-002
	1,200000e+000	-3,157330e-002
	1,210000e+000	-2,492809e-002
	1,220000e+000	-1,822281e-002
	1,230000e+000	-1,145935e-002
	1,240000e+000	-4,640579e-003
	1,250000e+000	2,234459e-003
	1,260000e+000	9,161949e-003
	1,270000e+000	1,614094e-002
	1,280000e+000	2,317047e-002
	1,290000e+000	3,024769e-002
	1,300000e+000	3,737450e-002
	1,310000e+000	4,454708e-002
	1,320000e+000	5,176449e-002
	1,330000e+000	5,902672e-002
	1,340000e+000	6,633091e-002
	1,350000e+000	7,367706e-002
	1,360000e+000	8,106613e-002
	1,370000e+000	8,849335e-002
	1,380000e+000	9,595871e-002
	1,390000e+000	1,034641e-001
	1,400000e+000	1,110058e-001
	1,410000e+000	1,185837e-001
	1,420000e+000	1,261969e-001
	1,430000e+000	1,338444e-001
	1,440000e+000	1,415262e-001
	1,450000e+000	1,492414e-001
	1,460000e+000	1,569881e-001
	1,470000e+000	1,647663e-001
	1,480000e+000	1,725760e-001
	1,490000e+000	1,804161e-001
	1,500000e+000	1,882858e-001
	1,510000e+000	1,961842e-001
	1,520000e+000	2,041121e-001
	1,530000e+000	2,120667e-001
	1,540000e+000	2,200489e-001
	1,550000e+000	2,280579e-001
	1,560000e+000	2,360926e-001
	1,570000e+000	2,441549e-001
	1,580000e+000	2,522411e-001
	1,590000e+000	2,603512e-001
	1,600000e+000	2,684860e-001
	1,610000e+000	2,766457e-001
	1,620000e+000	2,848272e-001
	1,630000e+000	2,930326e-001
	1,640000e+000	3,012600e-001
	1,650000e+000	3,095102e-001
	1,660000e+000	3,177805e-001
	1,670000e+000	3,260736e-001
	1,680000e+000	3,343878e-001
	1,690000e+000	3,427219e-001
	1,700000e+000	3,510752e-001
