Circuit: * Z:\home\mainster\CODES_local\LTSpice_projects\koblitz_EAS_klausuren\ws13_14_buck_fan.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.0012 to 0.0012
Heightened Def Con from 0.0013 to 0.0013
Heightened Def Con from 0.0015 to 0.0015
Heightened Def Con from 0.0019 to 0.0019
Heightened Def Con from 0.0023 to 0.0023
Heightened Def Con from 0.0027 to 0.0027
Heightened Def Con from 0.0028 to 0.0028
Heightened Def Con from 0.0031 to 0.0031
Heightened Def Con from 0.0032 to 0.0032
Heightened Def Con from 0.0034 to 0.0034
Heightened Def Con from 0.0035 to 0.0035
Heightened Def Con from 0.0036 to 0.0036
Heightened Def Con from 0.0039 to 0.0039
Heightened Def Con from 0.004 to 0.004
Heightened Def Con from 0.0044 to 0.0044
Heightened Def Con from 0.0045 to 0.0045
Heightened Def Con from 0.0053 to 0.0053
Heightened Def Con from 0.0054 to 0.0054
Heightened Def Con from 0.0055 to 0.0055
Heightened Def Con from 0.0056 to 0.0056
Heightened Def Con from 0.0058 to 0.0058
Heightened Def Con from 0.006 to 0.006
Heightened Def Con from 0.0062 to 0.0062
Heightened Def Con from 0.0063 to 0.0063
Heightened Def Con from 0.0064 to 0.0064
Heightened Def Con from 0.0065 to 0.0065
Heightened Def Con from 0.0069 to 0.0069
Heightened Def Con from 0.0077 to 0.0077
Heightened Def Con from 0.0078 to 0.0078
Heightened Def Con from 0.0079 to 0.0079
Heightened Def Con from 0.0086 to 0.0086
Heightened Def Con from 0.0087 to 0.0087
Heightened Def Con from 0.0091 to 0.0091
Heightened Def Con from 0.0094 to 0.0094
Heightened Def Con from 0.0101 to 0.0101
Heightened Def Con from 0.0102 to 0.0102
Heightened Def Con from 0.0103 to 0.0103
Heightened Def Con from 0.0104 to 0.0104
Heightened Def Con from 0.0105 to 0.0105
Heightened Def Con from 0.0106 to 0.0106
Heightened Def Con from 0.0109 to 0.0109
Heightened Def Con from 0.0111 to 0.0111
Heightened Def Con from 0.0112 to 0.0112
Heightened Def Con from 0.0113 to 0.0113
Heightened Def Con from 0.0116 to 0.0116
Heightened Def Con from 0.012 to 0.012
Heightened Def Con from 0.0122 to 0.0122
Heightened Def Con from 0.0126 to 0.0126
Heightened Def Con from 0.0127 to 0.0127
Heightened Def Con from 0.0128 to 0.0128
Heightened Def Con from 0.0129 to 0.0129
Heightened Def Con from 0.0131 to 0.0131
Heightened Def Con from 0.0133 to 0.0133
Heightened Def Con from 0.0135 to 0.0135
Heightened Def Con from 0.0137 to 0.0137
Heightened Def Con from 0.0141 to 0.0141
Heightened Def Con from 0.0142 to 0.0142
Heightened Def Con from 0.0144 to 0.0144
Heightened Def Con from 0.0148 to 0.0148
Heightened Def Con from 0.0149 to 0.0149
Heightened Def Con from 0.015 to 0.015
Heightened Def Con from 0.0154 to 0.0154
Heightened Def Con from 0.0155 to 0.0155
Heightened Def Con from 0.0156 to 0.0156
Heightened Def Con from 0.0158 to 0.0158
Heightened Def Con from 0.0159 to 0.0159
Heightened Def Con from 0.0161 to 0.0161
Heightened Def Con from 0.0163 to 0.0163
Heightened Def Con from 0.0164 to 0.0164
Heightened Def Con from 0.0165 to 0.0165
Heightened Def Con from 0.0167 to 0.0167
Heightened Def Con from 0.0168 to 0.0168
Heightened Def Con from 0.0169 to 0.0169
Heightened Def Con from 0.0171 to 0.0171
Heightened Def Con from 0.0172 to 0.0172
Heightened Def Con from 0.0173 to 0.0173
Heightened Def Con from 0.0174 to 0.0174
Heightened Def Con from 0.0175 to 0.0175
Heightened Def Con from 0.0176 to 0.0176
Heightened Def Con from 0.0177 to 0.0177
Heightened Def Con from 0.0178 to 0.0178
Heightened Def Con from 0.0181 to 0.0181
Heightened Def Con from 0.0182 to 0.0182
Heightened Def Con from 0.0183 to 0.0183
Heightened Def Con from 0.0184 to 0.0184
Heightened Def Con from 0.0185 to 0.0185
Heightened Def Con from 0.0186 to 0.0186
Heightened Def Con from 0.0187 to 0.0187
Heightened Def Con from 0.0188 to 0.0188
Heightened Def Con from 0.0189 to 0.0189
Heightened Def Con from 0.0191 to 0.0191
Heightened Def Con from 0.0192 to 0.0192
Heightened Def Con from 0.0194 to 0.0194
Heightened Def Con from 0.0195 to 0.0195
Heightened Def Con from 0.0196 to 0.0196
Heightened Def Con from 0.0197 to 0.0197
Heightened Def Con from 0.0198 to 0.0198
Heightened Def Con from 0.0199 to 0.0199
Heightened Def Con from 0.02 to 0.02
Heightened Def Con from 0.0203 to 0.0203
Heightened Def Con from 0.0206 to 0.0206
Heightened Def Con from 0.0207 to 0.0207
Heightened Def Con from 0.0208 to 0.0208
Heightened Def Con from 0.0209 to 0.0209
Heightened Def Con from 0.021 to 0.021
Heightened Def Con from 0.0211 to 0.0211
Heightened Def Con from 0.0213 to 0.0213
Heightened Def Con from 0.0214 to 0.0214
Heightened Def Con from 0.0215 to 0.0215
Heightened Def Con from 0.0216 to 0.0216
Heightened Def Con from 0.0217 to 0.0217
Heightened Def Con from 0.0218 to 0.0218
Heightened Def Con from 0.0219 to 0.0219
Heightened Def Con from 0.022 to 0.022
Heightened Def Con from 0.0221 to 0.0221
Heightened Def Con from 0.0222 to 0.0222
Heightened Def Con from 0.0223 to 0.0223
Heightened Def Con from 0.0224 to 0.0224
Heightened Def Con from 0.0226 to 0.0226
Heightened Def Con from 0.0227 to 0.0227
Heightened Def Con from 0.0229 to 0.0229
Heightened Def Con from 0.023 to 0.023
Heightened Def Con from 0.0231 to 0.0231
Heightened Def Con from 0.0232 to 0.0232
Heightened Def Con from 0.0233 to 0.0233
Heightened Def Con from 0.0235 to 0.0235
Heightened Def Con from 0.0236 to 0.0236
Heightened Def Con from 0.0237 to 0.0237
Heightened Def Con from 0.0238 to 0.0238
Heightened Def Con from 0.0239 to 0.0239
Heightened Def Con from 0.024 to 0.024
Heightened Def Con from 0.0241 to 0.0241
Heightened Def Con from 0.0242 to 0.0242
Heightened Def Con from 0.0243 to 0.0243
Heightened Def Con from 0.0245 to 0.0245
Heightened Def Con from 0.0246 to 0.0246
Heightened Def Con from 0.0247 to 0.0247
Heightened Def Con from 0.0249 to 0.0249
Heightened Def Con from 0.025 to 0.025
Heightened Def Con from 0.0251 to 0.0251
Heightened Def Con from 0.0252 to 0.0252
Heightened Def Con from 0.0254 to 0.0254
Heightened Def Con from 0.0257 to 0.0257
Heightened Def Con from 0.0258 to 0.0258
Heightened Def Con from 0.026 to 0.026
Heightened Def Con from 0.0261 to 0.0261
Heightened Def Con from 0.0262 to 0.0262
Heightened Def Con from 0.0263 to 0.0263
Heightened Def Con from 0.0266 to 0.0266
Heightened Def Con from 0.027 to 0.027
Heightened Def Con from 0.0271 to 0.0271
Heightened Def Con from 0.0272 to 0.0272
Heightened Def Con from 0.0274 to 0.0274
Heightened Def Con from 0.0277 to 0.0277
Heightened Def Con from 0.0279 to 0.0279
Heightened Def Con from 0.0281 to 0.0281
Heightened Def Con from 0.0283 to 0.0283
Heightened Def Con from 0.0285 to 0.0285
Heightened Def Con from 0.0286 to 0.0286
Heightened Def Con from 0.0287 to 0.0287
Heightened Def Con from 0.0288 to 0.0288
Heightened Def Con from 0.0289 to 0.0289
Heightened Def Con from 0.0294 to 0.0294
Heightened Def Con from 0.0295 to 0.0295
Heightened Def Con from 0.0296 to 0.0296
Heightened Def Con from 0.0298 to 0.0298
Heightened Def Con from 0.0299 to 0.0299
Heightened Def Con from 0.03 to 0.03
Heightened Def Con from 0.0301 to 0.0301
