Freq.	a	b	gain
1.00000000000000e+003	(-4.60391650417036e+001dB,-8.92795159275064e+001°)	(-7.36114584814903e+001dB,-1.64750102651184e+002°)	(2.75723000000000e+001dB,7.54706000000000e+001°)
1.00696000000000e+003	(-4.60391727614661e+001dB,-8.92744505788026e+001°)	(-7.36728406941428e+001dB,-1.64824506542505e+002°)	(2.76337000000000e+001dB,7.55501000000000e+001°)
1.01396000000000e+003	(-4.60391630457578e+001dB,-8.92694073543799e+001°)	(-7.37343133336044e+001dB,-1.64898284243287e+002°)	(2.76951000000000e+001dB,7.56289000000000e+001°)
1.02101000000000e+003	(-4.60391706054533e+001dB,-8.92643293669651e+001°)	(-7.37958781197116e+001dB,-1.64971467737080e+002°)	(2.77567000000000e+001dB,7.57071000000000e+001°)
1.02811000000000e+003	(-4.60391780249059e+001dB,-8.92592146260079e+001°)	(-7.38575356716429e+001dB,-1.65044062866128e+002°)	(2.78184000000000e+001dB,7.57849000000000e+001°)
1.03526000000000e+003	(-4.60391678996592e+001dB,-8.92540669231876e+001°)	(-7.39192877104884e+001dB,-1.65116103328609e+002°)	(2.78801000000000e+001dB,7.58621000000000e+001°)
1.04247000000000e+003	(-4.60391401668091e+001dB,-8.92488552866038e+001°)	(-7.39811337408691e+001dB,-1.65187568611561e+002°)	(2.79420000000000e+001dB,7.59387000000000e+001°)
1.04972000000000e+003	(-4.60391471631180e+001dB,-8.92436337619483e+001°)	(-7.40430743636237e+001dB,-1.65258465669904e+002°)	(2.80039000000000e+001dB,7.60149000000000e+001°)
1.05702000000000e+003	(-4.60391366058743e+001dB,-8.92383770109165e+001°)	(-7.41051101730044e+001dB,-1.65328801846207e+002°)	(2.80660000000000e+001dB,7.60905000000000e+001°)
1.06437000000000e+003	(-4.60391433106251e+001dB,-8.92330831396021e+001°)	(-7.41672417564529e+001dB,-1.65398584880247e+002°)	(2.81281000000000e+001dB,7.61655000000000e+001°)
1.07177000000000e+003	(-4.60391498638023e+001dB,-8.92277513675413e+001°)	(-7.42294685727948e+001dB,-1.65467794377447e+002°)	(2.81903000000000e+001dB,7.62400000000000e+001°)
1.07923000000000e+003	(-4.60391388588537e+001dB,-8.92223844016527e+001°)	(-7.42917911866098e+001dB,-1.65536438258274e+002°)	(2.82527000000000e+001dB,7.63141000000000e+001°)
1.08673000000000e+003	(-4.60390928371898e+001dB,-8.92169597306314e+001°)	(-7.43542079001098e+001dB,-1.65604466915502e+002°)	(2.83151000000000e+001dB,7.63875000000000e+001°)
1.09429000000000e+003	(-4.60390815233604e+001dB,-8.92115181776928e+001°)	(-7.44167680171888e+001dB,-1.65671930007559e+002°)	(2.83777000000000e+001dB,7.64605000000000e+001°)
1.10191000000000e+003	(-4.60391047886454e+001dB,-8.92059988204122e+001°)	(-7.44793839265479e+001dB,-1.65738986962091e+002°)	(2.84403000000000e+001dB,7.65330000000000e+001°)
1.10957000000000e+003	(-4.60390760167659e+001dB,-8.92006093993832e+001°)	(-7.45420876008387e+001dB,-1.65805248442756e+002°)	(2.85030000000000e+001dB,7.66046000000000e+001°)
1.11729000000000e+003	(-4.60391337951473e+001dB,-8.91950201916201e+001°)	(-7.46049441101453e+001dB,-1.65871150922817e+002°)	(2.85658000000000e+001dB,7.66761000000000e+001°)
1.12506000000000e+003	(-4.60390694270200e+001dB,-8.91893423844213e+001°)	(-7.46678490125168e+001dB,-1.65936469398479e+002°)	(2.86288000000000e+001dB,7.67471000000000e+001°)
1.13288000000000e+003	(-4.60391795404347e+001dB,-8.91838779508830e+001°)	(-7.47308982180035e+001dB,-1.66001182243312e+002°)	(2.86917000000000e+001dB,7.68173000000000e+001°)
1.14076000000000e+003	(-4.60390624314734e+001dB,-8.91780432363897e+001°)	(-7.47940458124610e+001dB,-1.66065344903659e+002°)	(2.87550000000000e+001dB,7.68873000000000e+001°)
1.14870000000000e+003	(-4.60390499489229e+001dB,-8.91723238823497e+001°)	(-7.48572922715493e+001dB,-1.66128968011044e+002°)	(2.88182000000000e+001dB,7.69566000000000e+001°)
1.15669000000000e+003	(-4.60390547158104e+001dB,-8.91665707240484e+001°)	(-7.49206369054729e+001dB,-1.66192031686443e+002°)	(2.88816000000000e+001dB,7.70255000000000e+001°)
1.16473000000000e+003	(-4.60390593084341e+001dB,-8.91607785196593e+001°)	(-7.49840813175846e+001dB,-1.66254578093428e+002°)	(2.89450000000000e+001dB,7.70938000000000e+001°)
1.17283000000000e+003	(-4.60390463284331e+001dB,-8.91549535559562e+001°)	(-7.50476725089952e+001dB,-1.66316511259856e+002°)	(2.90086000000000e+001dB,7.71616000000000e+001°)
1.18099000000000e+003	(-4.60390507275036e+001dB,-8.91491544618416e+001°)	(-7.51113134971674e+001dB,-1.66377932757412e+002°)	(2.90723000000000e+001dB,7.72288000000000e+001°)
1.18921000000000e+003	(-4.60390197477465e+001dB,-8.91431486713920e+001°)	(-7.51751063237664e+001dB,-1.66438859911787e+002°)	(2.91361000000000e+001dB,7.72957000000000e+001°)
1.19748000000000e+003	(-4.60390236065687e+001dB,-8.91371922832773e+001°)	(-7.52389966766298e+001dB,-1.66499191346275e+002°)	(2.92000000000000e+001dB,7.73620000000000e+001°)
1.20581000000000e+003	(-4.60390272791348e+001dB,-8.91311957023305e+001°)	(-7.53029884475803e+001dB,-1.66559035780287e+002°)	(2.92640000000000e+001dB,7.74278000000000e+001°)
1.21419000000000e+003	(-4.60390307582153e+001dB,-8.91251566323910e+001°)	(-7.53670784827611e+001dB,-1.66618309258534e+002°)	(2.93281000000000e+001dB,7.74932000000000e+001°)
1.22264000000000e+003	(-4.60390340417736e+001dB,-8.91190750737463e+001°)	(-7.54313194358924e+001dB,-1.66677012121011e+002°)	(2.93923000000000e+001dB,7.75580000000000e+001°)
1.23114000000000e+003	(-4.60390545155165e+001dB,-8.91129412113856e+001°)	(-7.54956636575457e+001dB,-1.66735269658344e+002°)	(2.94566000000000e+001dB,7.76224000000000e+001°)
1.23971000000000e+003	(-4.60390574776947e+001dB,-8.91068068138641e+001°)	(-7.55601043605828e+001dB,-1.66792897033511e+002°)	(2.95210000000000e+001dB,7.76861000000000e+001°)
1.24833000000000e+003	(-4.60390601654263e+001dB,-8.91005989266510e+001°)	(-7.56246465943879e+001dB,-1.66850041004795e+002°)	(2.95856000000000e+001dB,7.77494000000000e+001°)
1.25701000000000e+003	(-4.60390452400816e+001dB,-8.90943492187501e+001°)	(-7.56893409685398e+001dB,-1.66906604159572e+002°)	(2.96503000000000e+001dB,7.78123000000000e+001°)
1.26576000000000e+003	(-4.60390298650672e+001dB,-8.90879560068811e+001°)	(-7.57541394546343e+001dB,-1.66962748903833e+002°)	(2.97151000000000e+001dB,7.78748000000000e+001°)
1.27456000000000e+003	(-4.60390668552436e+001dB,-8.90816617824435e+001°)	(-7.58190351144881e+001dB,-1.67018285870814e+002°)	(2.97800000000000e+001dB,7.79366000000000e+001°)
1.28343000000000e+003	(-4.60390862134094e+001dB,-8.90753199846727e+001°)	(-7.58840844939477e+001dB,-1.67073253077971e+002°)	(2.98450000000000e+001dB,7.79980000000000e+001°)
1.29235000000000e+003	(-4.60390880643481e+001dB,-8.90689823210524e+001°)	(-7.59492322899416e+001dB,-1.67127641224670e+002°)	(2.99101000000000e+001dB,7.80587000000000e+001°)
1.30134000000000e+003	(-4.60390894757801e+001dB,-8.90625103149624e+001°)	(-7.60144847785130e+001dB,-1.67181641614579e+002°)	(2.99754000000000e+001dB,7.81191000000000e+001°)
1.31039000000000e+003	(-4.60390906616616e+001dB,-8.90559923787797e+001°)	(-7.60798912461308e+001dB,-1.67235050812696e+002°)	(3.00408000000000e+001dB,7.81790000000000e+001°)
1.31951000000000e+003	(-4.60390916225045e+001dB,-8.90494296611115e+001°)	(-7.61453987527980e+001dB,-1.67287965799339e+002°)	(3.01063000000000e+001dB,7.82385000000000e+001°)
1.32869000000000e+003	(-4.60390746849628e+001dB,-8.90427195949407e+001°)	(-7.62110647044013e+001dB,-1.67340395279163e+002°)	(3.01720000000000e+001dB,7.82977000000000e+001°)
1.33793000000000e+003	(-4.60390751839793e+001dB,-8.90360661808825e+001°)	(-7.62768291594608e+001dB,-1.67392257746891e+002°)	(3.02378000000000e+001dB,7.83562000000000e+001°)
1.34723000000000e+003	(-4.60390410099324e+001dB,-8.90295165487734e+001°)	(-7.63427441390989e+001dB,-1.67443377801951e+002°)	(3.03037000000000e+001dB,7.84139000000000e+001°)
1.35660000000000e+003	(-4.60390410360378e+001dB,-8.90227701571063e+001°)	(-7.64087660957615e+001dB,-1.67494184142468e+002°)	(3.03697000000000e+001dB,7.84714000000000e+001°)
1.36604000000000e+003	(-4.60390408161548e+001dB,-8.90159755418602e+001°)	(-7.64748889331914e+001dB,-1.67544513418506e+002°)	(3.04359000000000e+001dB,7.85285000000000e+001°)
1.37554000000000e+003	(-4.60390403537038e+001dB,-8.90091349998820e+001°)	(-7.65412266410569e+001dB,-1.67594219823588e+002°)	(3.05022000000000e+001dB,7.85851000000000e+001°)
1.38511000000000e+003	(-4.60390047310749e+001dB,-8.90022134930733e+001°)	(-7.66076658601853e+001dB,-1.67643449842453e+002°)	(3.05686000000000e+001dB,7.86413000000000e+001°)
1.39474000000000e+003	(-4.60389863449988e+001dB,-8.89952739552253e+001°)	(-7.66742053554007e+001dB,-1.67692185448277e+002°)	(3.06352000000000e+001dB,7.86969000000000e+001°)
1.40444000000000e+003	(-4.60389851206006e+001dB,-8.89882887890868e+001°)	(-7.67409047085979e+001dB,-1.67740401545481e+002°)	(3.07019000000000e+001dB,7.87521000000000e+001°)
1.41421000000000e+003	(-4.60389836402053e+001dB,-8.89812565503795e+001°)	(-7.68077627421235e+001dB,-1.67788041350332e+002°)	(3.07688000000000e+001dB,7.88068000000000e+001°)
1.42405000000000e+003	(-4.60389818918353e+001dB,-8.89741737951691e+001°)	(-7.68747228243066e+001dB,-1.67835247928051e+002°)	(3.08357000000000e+001dB,7.88611000000000e+001°)
1.43396000000000e+003	(-4.60389622754743e+001dB,-8.89669725568183e+001°)	(-7.69418446243710e+001dB,-1.67881959144357e+002°)	(3.09029000000000e+001dB,7.89150000000000e+001°)
1.44393000000000e+003	(-4.60388902198722e+001dB,-8.89597466054618e+001°)	(-7.70091256297915e+001dB,-1.67928078172487e+002°)	(3.09702000000000e+001dB,7.89683000000000e+001°)
1.45397000000000e+003	(-4.60389050825195e+001dB,-8.89525206110724e+001°)	(-7.70765077656846e+001dB,-1.67973750597816e+002°)	(3.10376000000000e+001dB,7.90212000000000e+001°)
1.46409000000000e+003	(-4.60389022445282e+001dB,-8.89452404470388e+001°)	(-7.71440507650278e+001dB,-1.68018873583820e+002°)	(3.11052000000000e+001dB,7.90736000000000e+001°)
1.47427000000000e+003	(-4.60388991243284e+001dB,-8.89379097699380e+001°)	(-7.72117559252005e+001dB,-1.68063469109853e+002°)	(3.11729000000000e+001dB,7.91255000000000e+001°)
1.48452000000000e+003	(-4.60388958879363e+001dB,-8.89305882832788e+001°)	(-7.72796219287163e+001dB,-1.68107478035800e+002°)	(3.12408000000000e+001dB,7.91768000000000e+001°)
1.49485000000000e+003	(-4.60388747772590e+001dB,-8.89231541474366e+001°)	(-7.73476526730945e+001dB,-1.68151004751145e+002°)	(3.13088000000000e+001dB,7.92279000000000e+001°)
1.50525000000000e+003	(-4.60388707872714e+001dB,-8.89156696536953e+001°)	(-7.74157850008244e+001dB,-1.68194119276155e+002°)	(3.13769000000000e+001dB,7.92784000000000e+001°)
1.51572000000000e+003	(-4.60388839315431e+001dB,-8.89081404983517e+001°)	(-7.74840796761553e+001dB,-1.68236675868135e+002°)	(3.14452000000000e+001dB,7.93285000000000e+001°)
1.52626000000000e+003	(-4.60388793369436e+001dB,-8.89005503771173e+001°)	(-7.75526034364809e+001dB,-1.68278652495853e+002°)	(3.15137000000000e+001dB,7.93781000000000e+001°)
1.53688000000000e+003	(-4.60389091748695e+001dB,-8.88928789028255e+001°)	(-7.76212297335190e+001dB,-1.68320249809410e+002°)	(3.15823000000000e+001dB,7.94274000000000e+001°)
1.54756000000000e+003	(-4.60388693416494e+001dB,-8.88852519039618e+001°)	(-7.76900167649172e+001dB,-1.68361191681392e+002°)	(3.16511000000000e+001dB,7.94759000000000e+001°)
1.55833000000000e+003	(-4.60388638168113e+001dB,-8.88775033695766e+001°)	(-7.77589724500970e+001dB,-1.68401717051094e+002°)	(3.17201000000000e+001dB,7.95242000000000e+001°)
1.56917000000000e+003	(-4.60388753766893e+001dB,-8.88696986191150e+001°)	(-7.78280939881162e+001dB,-1.68441723104577e+002°)	(3.17893000000000e+001dB,7.95720000000000e+001°)
1.58008000000000e+003	(-4.60388342944442e+001dB,-8.88618122870758e+001°)	(-7.78974494008756e+001dB,-1.68481146196932e+002°)	(3.18586000000000e+001dB,7.96193000000000e+001°)
1.59107000000000e+003	(-4.60388277911928e+001dB,-8.88538996223963e+001°)	(-7.79669040871637e+001dB,-1.68520103855234e+002°)	(3.19281000000000e+001dB,7.96662000000000e+001°)
