Freq.	a	b	gain
2.00000e+003	(-4.60390e+001dB,-8.85593e+001°)	(-8.12602e+001dB,-1.65201e+002°)	(3.52212e+001dB,7.66416e+001°)
2.01391e+003	(-4.60390e+001dB,-8.85494e+001°)	(-8.13343e+001dB,-1.65242e+002°)	(3.52953e+001dB,7.66927e+001°)
2.02792e+003	(-4.60390e+001dB,-8.85393e+001°)	(-8.14087e+001dB,-1.65283e+002°)	(3.53698e+001dB,7.67433e+001°)
2.04202e+003	(-4.60390e+001dB,-8.85291e+001°)	(-8.14834e+001dB,-1.65322e+002°)	(3.54445e+001dB,7.67932e+001°)
2.05623e+003	(-4.60390e+001dB,-8.85189e+001°)	(-8.15584e+001dB,-1.65361e+002°)	(3.55194e+001dB,7.68424e+001°)
2.07053e+003	(-4.60390e+001dB,-8.85086e+001°)	(-8.16337e+001dB,-1.65399e+002°)	(3.55947e+001dB,7.68908e+001°)
2.08493e+003	(-4.60390e+001dB,-8.84981e+001°)	(-8.17093e+001dB,-1.65437e+002°)	(3.56703e+001dB,7.69388e+001°)
2.09943e+003	(-4.60390e+001dB,-8.84878e+001°)	(-8.17851e+001dB,-1.65473e+002°)	(3.57461e+001dB,7.69856e+001°)
2.11404e+003	(-4.60390e+001dB,-8.84773e+001°)	(-8.18613e+001dB,-1.65509e+002°)	(3.58223e+001dB,7.70320e+001°)
2.12874e+003	(-4.60390e+001dB,-8.84667e+001°)	(-8.19377e+001dB,-1.65544e+002°)	(3.58988e+001dB,7.70775e+001°)
2.14355e+003	(-4.60390e+001dB,-8.84560e+001°)	(-8.20145e+001dB,-1.65578e+002°)	(3.59756e+001dB,7.71225e+001°)
2.15846e+003	(-4.60390e+001dB,-8.84452e+001°)	(-8.20916e+001dB,-1.65612e+002°)	(3.60527e+001dB,7.71668e+001°)
2.17347e+003	(-4.60389e+001dB,-8.84344e+001°)	(-8.21690e+001dB,-1.65644e+002°)	(3.61301e+001dB,7.72100e+001°)
2.18859e+003	(-4.60389e+001dB,-8.84235e+001°)	(-8.22468e+001dB,-1.65676e+002°)	(3.62078e+001dB,7.72526e+001°)
2.20381e+003	(-4.60389e+001dB,-8.84126e+001°)	(-8.23248e+001dB,-1.65707e+002°)	(3.62859e+001dB,7.72945e+001°)
2.21914e+003	(-4.60389e+001dB,-8.84015e+001°)	(-8.24032e+001dB,-1.65737e+002°)	(3.63643e+001dB,7.73356e+001°)
2.23457e+003	(-4.60389e+001dB,-8.83903e+001°)	(-8.24820e+001dB,-1.65766e+002°)	(3.64431e+001dB,7.73761e+001°)
2.25012e+003	(-4.60389e+001dB,-8.83792e+001°)	(-8.25610e+001dB,-1.65795e+002°)	(3.65221e+001dB,7.74155e+001°)
2.26577e+003	(-4.60389e+001dB,-8.83680e+001°)	(-8.26405e+001dB,-1.65822e+002°)	(3.66016e+001dB,7.74543e+001°)
2.28153e+003	(-4.60389e+001dB,-8.83566e+001°)	(-8.27203e+001dB,-1.65849e+002°)	(3.66814e+001dB,7.74922e+001°)
2.29740e+003	(-4.60389e+001dB,-8.83453e+001°)	(-8.28004e+001dB,-1.65875e+002°)	(3.67616e+001dB,7.75293e+001°)
2.31338e+003	(-4.60388e+001dB,-8.83338e+001°)	(-8.28810e+001dB,-1.65899e+002°)	(3.68421e+001dB,7.75657e+001°)
2.32947e+003	(-4.60388e+001dB,-8.83222e+001°)	(-8.29619e+001dB,-1.65923e+002°)	(3.69230e+001dB,7.76013e+001°)
2.34567e+003	(-4.60388e+001dB,-8.83105e+001°)	(-8.30432e+001dB,-1.65947e+002°)	(3.70043e+001dB,7.76361e+001°)
2.36199e+003	(-4.60388e+001dB,-8.82988e+001°)	(-8.31249e+001dB,-1.65969e+002°)	(3.70860e+001dB,7.76700e+001°)
2.37841e+003	(-4.60388e+001dB,-8.82869e+001°)	(-8.32069e+001dB,-1.65990e+002°)	(3.71681e+001dB,7.77031e+001°)
2.39496e+003	(-4.60388e+001dB,-8.82750e+001°)	(-8.32894e+001dB,-1.66010e+002°)	(3.72506e+001dB,7.77355e+001°)
2.41162e+003	(-4.60388e+001dB,-8.82630e+001°)	(-8.33723e+001dB,-1.66030e+002°)	(3.73335e+001dB,7.77670e+001°)
2.42839e+003	(-4.60388e+001dB,-8.82509e+001°)	(-8.34556e+001dB,-1.66048e+002°)	(3.74168e+001dB,7.77975e+001°)
2.44528e+003	(-4.60388e+001dB,-8.82387e+001°)	(-8.35394e+001dB,-1.66066e+002°)	(3.75006e+001dB,7.78273e+001°)
2.46229e+003	(-4.60388e+001dB,-8.82265e+001°)	(-8.36236e+001dB,-1.66083e+002°)	(3.75848e+001dB,7.78561e+001°)
2.47942e+003	(-4.60388e+001dB,-8.82142e+001°)	(-8.37082e+001dB,-1.66098e+002°)	(3.76694e+001dB,7.78840e+001°)
2.49666e+003	(-4.60388e+001dB,-8.82018e+001°)	(-8.37933e+001dB,-1.66113e+002°)	(3.77545e+001dB,7.79110e+001°)
2.51403e+003	(-4.60388e+001dB,-8.81892e+001°)	(-8.38788e+001dB,-1.66126e+002°)	(3.78400e+001dB,7.79371e+001°)
2.53151e+003	(-4.60388e+001dB,-8.81767e+001°)	(-8.39648e+001dB,-1.66139e+002°)	(3.79260e+001dB,7.79623e+001°)
2.54912e+003	(-4.60388e+001dB,-8.81640e+001°)	(-8.40513e+001dB,-1.66150e+002°)	(3.80125e+001dB,7.79866e+001°)
2.56685e+003	(-4.60387e+001dB,-8.81513e+001°)	(-8.41382e+001dB,-1.66161e+002°)	(3.80995e+001dB,7.80097e+001°)
2.58471e+003	(-4.60387e+001dB,-8.81384e+001°)	(-8.42257e+001dB,-1.66170e+002°)	(3.81870e+001dB,7.80320e+001°)
2.60268e+003	(-4.60387e+001dB,-8.81254e+001°)	(-8.43136e+001dB,-1.66179e+002°)	(3.82749e+001dB,7.80534e+001°)
2.62079e+003	(-4.60387e+001dB,-8.81124e+001°)	(-8.44021e+001dB,-1.66186e+002°)	(3.83634e+001dB,7.80737e+001°)
2.63902e+003	(-4.60387e+001dB,-8.80993e+001°)	(-8.44911e+001dB,-1.66192e+002°)	(3.84524e+001dB,7.80930e+001°)
2.65737e+003	(-4.60387e+001dB,-8.80861e+001°)	(-8.45806e+001dB,-1.66197e+002°)	(3.85419e+001dB,7.81113e+001°)
2.67586e+003	(-4.60387e+001dB,-8.80727e+001°)	(-8.46707e+001dB,-1.66201e+002°)	(3.86320e+001dB,7.81287e+001°)
2.69447e+003	(-4.60387e+001dB,-8.80593e+001°)	(-8.47612e+001dB,-1.66204e+002°)	(3.87226e+001dB,7.81450e+001°)
