frequency	V(inoise)	V(onoise)
1.000000000000000e-001	1.132826e-006	1.724321e-008
1.023292992280754e-001	1.107186e-006	1.724144e-008
1.047128548050900e-001	1.082134e-006	1.723960e-008
1.071519305237607e-001	1.057656e-006	1.723767e-008
1.096478196143185e-001	1.033738e-006	1.723564e-008
1.122018454301964e-001	1.010368e-006	1.723353e-008
1.148153621496883e-001	9.875340e-007	1.723132e-008
1.174897554939530e-001	9.652235e-007	1.722901e-008
1.202264434617413e-001	9.434248e-007	1.722659e-008
1.230268770812382e-001	9.221262e-007	1.722406e-008
1.258925411794167e-001	9.013166e-007	1.722141e-008
1.288249551693134e-001	8.809848e-007	1.721865e-008
1.318256738556407e-001	8.611200e-007	1.721575e-008
1.348962882591653e-001	8.417118e-007	1.721273e-008
1.380384264602884e-001	8.227498e-007	1.720956e-008
1.412537544622754e-001	8.042240e-007	1.720626e-008
1.445439770745927e-001	7.861246e-007	1.720280e-008
1.479108388168207e-001	7.684420e-007	1.719918e-008
1.513561248436207e-001	7.511667e-007	1.719541e-008
1.548816618912480e-001	7.342896e-007	1.719146e-008
1.584893192461112e-001	7.178018e-007	1.718733e-008
1.621810097358929e-001	7.016944e-007	1.718302e-008
1.659586907437559e-001	6.859591e-007	1.717851e-008
1.698243652461743e-001	6.705874e-007	1.717380e-008
1.737800828749374e-001	6.555711e-007	1.716888e-008
1.778279410038921e-001	6.409023e-007	1.716375e-008
1.819700858609982e-001	6.265733e-007	1.715838e-008
1.862087136662866e-001	6.125763e-007	1.715278e-008
1.905460717963245e-001	5.989041e-007	1.714692e-008
1.949844599758043e-001	5.855492e-007	1.714081e-008
1.995262314968878e-001	5.725047e-007	1.713443e-008
2.041737944669527e-001	5.597635e-007	1.712778e-008
2.089296130854037e-001	5.473191e-007	1.712083e-008
2.137962089502230e-001	5.351646e-007	1.711357e-008
2.187761623949550e-001	5.232937e-007	1.710601e-008
2.238721138568337e-001	5.117001e-007	1.709812e-008
2.290867652767770e-001	5.003776e-007	1.708989e-008
2.344228815319919e-001	4.893201e-007	1.708130e-008
2.398832919019487e-001	4.785219e-007	1.707235e-008
2.454708915685027e-001	4.679771e-007	1.706302e-008
2.511886431509577e-001	4.576802e-007	1.705330e-008
2.570395782768861e-001	4.476256e-007	1.704317e-008
2.630267991895379e-001	4.378082e-007	1.703261e-008
2.691534803926912e-001	4.282224e-007	1.702162e-008
2.754228703338163e-001	4.188634e-007	1.701017e-008
2.818382931264450e-001	4.097261e-007	1.699826e-008
2.884031503126602e-001	4.008057e-007	1.698586e-008
2.951209226666382e-001	3.920973e-007	1.697295e-008
3.019951720402012e-001	3.835964e-007	1.695953e-008
3.090295432513586e-001	3.752983e-007	1.694558e-008
3.162277660168375e-001	3.671987e-007	1.693107e-008
3.235936569296278e-001	3.592933e-007	1.691599e-008
3.311311214825907e-001	3.515777e-007	1.690032e-008
3.388441561392021e-001	3.440480e-007	1.688405e-008
3.467368504525312e-001	3.366999e-007	1.686716e-008
3.548133892335750e-001	3.295297e-007	1.684963e-008
3.630780547701009e-001	3.225334e-007	1.683145e-008
3.715352290971720e-001	3.157073e-007	1.681259e-008
3.801893963205607e-001	3.090477e-007	1.679304e-008
3.890451449942800e-001	3.025511e-007	1.677279e-008
3.981071705534967e-001	2.962138e-007	1.675181e-008
4.073802778041121e-001	2.900326e-007	1.673009e-008
4.168693834703348e-001	2.840040e-007	1.670762e-008
4.265795188015920e-001	2.781247e-007	1.668437e-008
4.365158322401653e-001	2.723916e-007	1.666035e-008
4.466835921509624e-001	2.668016e-007	1.663552e-008
4.570881896148742e-001	2.613516e-007	1.660989e-008
4.677351412871974e-001	2.560386e-007	1.658342e-008
4.786300923226375e-001	2.508597e-007	1.655613e-008
4.897788193684454e-001	2.458121e-007	1.652799e-008
5.011872336272715e-001	2.408929e-007	1.649900e-008
5.128613839913641e-001	2.360995e-007	1.646915e-008
5.248074602497718e-001	2.314292e-007	1.643844e-008
5.370317963702519e-001	2.268793e-007	1.640685e-008
5.495408738576236e-001	2.224474e-007	1.637440e-008
5.623413251903481e-001	2.181308e-007	1.634106e-008
5.754399373371559e-001	2.139273e-007	1.630686e-008
5.888436553555879e-001	2.098343e-007	1.627178e-008
6.025595860743567e-001	2.058497e-007	1.623584e-008
6.165950018614811e-001	2.019709e-007	1.619904e-008
6.309573444801921e-001	1.981959e-007	1.616139e-008
6.456542290346544e-001	1.945225e-007	1.612290e-008
6.606934480075949e-001	1.909484e-007	1.608359e-008
6.760829753919806e-001	1.874716e-007	1.604346e-008
6.918309709189353e-001	1.840899e-007	1.600255e-008
7.079457843841367e-001	1.808015e-007	1.596086e-008
7.244359600749888e-001	1.776042e-007	1.591843e-008
7.413102413009162e-001	1.744961e-007	1.587527e-008
7.585775750291823e-001	1.714753e-007	1.583142e-008
