Freq.	V(out5)
1.00000000000000e+003	(2.55291432573902e+001dB,1.79751129361651e+002°)
1.00695555005672e+003	(2.55291421066441e+001dB,1.79749398369054e+002°)
1.01395947979003e+003	(2.55291409398350e+001dB,1.79747655337283e+002°)
1.02101212570719e+003	(2.55291397567388e+001dB,1.79745900182616e+002°)
1.02811382665607e+003	(2.55291385571282e+001dB,1.79744132820750e+002°)
1.03526492384138e+003	(2.55291373407727e+001dB,1.79742353166796e+002°)
1.04246576084112e+003	(2.55291361074385e+001dB,1.79740561135273e+002°)
1.04971668362307e+003	(2.55291348568886e+001dB,1.79738756640109e+002°)
1.05701804056138e+003	(2.55291335888828e+001dB,1.79736939594630e+002°)
1.06437018245336e+003	(2.55291323031774e+001dB,1.79735109911562e+002°)
1.07177346253629e+003	(2.55291309995254e+001dB,1.79733267503024e+002°)
1.07922823650443e+003	(2.55291296776763e+001dB,1.79731412280525e+002°)
1.08673486252606e+003	(2.55291283373760e+001dB,1.79729544154957e+002°)
1.09429370126074e+003	(2.55291269783671e+001dB,1.79727663036593e+002°)
1.10190511587661e+003	(2.55291256003884e+001dB,1.79725768835083e+002°)
1.10956947206785e+003	(2.55291242031751e+001dB,1.79723861459451e+002°)
1.11728713807222e+003	(2.55291227864589e+001dB,1.79721940818084e+002°)
1.12505848468881e+003	(2.55291213499674e+001dB,1.79720006818736e+002°)
1.13288388529580e+003	(2.55291198934246e+001dB,1.79718059368519e+002°)
1.14076371586843e+003	(2.55291184165508e+001dB,1.79716098373899e+002°)
1.14869835499704e+003	(2.55291169190620e+001dB,1.79714123740692e+002°)
1.15668818390529e+003	(2.55291154006707e+001dB,1.79712135374060e+002°)
1.16473358646846e+003	(2.55291138610850e+001dB,1.79710133178504e+002°)
1.17283494923188e+003	(2.55291123000091e+001dB,1.79708117057865e+002°)
1.18099266142953e+003	(2.55291107171431e+001dB,1.79706086915311e+002°)
1.18920711500272e+003	(2.55291091121829e+001dB,1.79704042653341e+002°)
1.19747870461893e+003	(2.55291074848200e+001dB,1.79701984173775e+002°)
1.20580782769076e+003	(2.55291058347418e+001dB,1.79699911377750e+002°)
1.21419488439505e+003	(2.55291041616313e+001dB,1.79697824165716e+002°)
1.22264027769207e+003	(2.55291024651670e+001dB,1.79695722437433e+002°)
1.23114441334492e+003	(2.55291007450229e+001dB,1.79693606091962e+002°)
1.23970769993899e+003	(2.55290990008685e+001dB,1.79691475027665e+002°)
1.24833054890162e+003	(2.55290972323687e+001dB,1.79689329142195e+002°)
1.25701337452183e+003	(2.55290954391838e+001dB,1.79687168332496e+002°)
1.26575659397028e+003	(2.55290936209692e+001dB,1.79684992494795e+002°)
1.27456062731927e+003	(2.55290917773755e+001dB,1.79682801524597e+002°)
1.28342589756291e+003	(2.55290899080486e+001dB,1.79680595316684e+002°)
1.29235283063750e+003	(2.55290880126293e+001dB,1.79678373765103e+002°)
1.30134185544194e+003	(2.55290860907534e+001dB,1.79676136763166e+002°)
1.31039340385837e+003	(2.55290841420516e+001dB,1.79673884203446e+002°)
1.31950791077290e+003	(2.55290821661496e+001dB,1.79671615977767e+002°)
1.32868581409652e+003	(2.55290801626678e+001dB,1.79669331977203e+002°)
1.33792755478612e+003	(2.55290781312212e+001dB,1.79667032092068e+002°)
1.34723357686570e+003	(2.55290760714195e+001dB,1.79664716211919e+002°)
1.35660432744768e+003	(2.55290739828670e+001dB,1.79662384225541e+002°)
1.36604025675440e+003	(2.55290718651623e+001dB,1.79660036020948e+002°)
1.37554181813975e+003	(2.55290697178988e+001dB,1.79657671485378e+002°)
1.38510946811093e+003	(2.55290675406637e+001dB,1.79655290505281e+002°)
1.39474366635041e+003	(2.55290653330389e+001dB,1.79652892966324e+002°)
1.40444487573800e+003	(2.55290630946002e+001dB,1.79650478753374e+002°)
1.41421356237310e+003	(2.55290608249174e+001dB,1.79648047750501e+002°)
1.42405019559708e+003	(2.55290585235547e+001dB,1.79645599840971e+002°)
1.43395524801583e+003	(2.55290561900698e+001dB,1.79643134907235e+002°)
1.44392919552250e+003	(2.55290538240144e+001dB,1.79640652830931e+002°)
1.45397251732032e+003	(2.55290514249340e+001dB,1.79638153492873e+002°)
1.46408569594563e+003	(2.55290489923677e+001dB,1.79635636773048e+002°)
1.47426921729111e+003	(2.55290465258481e+001dB,1.79633102550609e+002°)
1.48452357062906e+003	(2.55290440249014e+001dB,1.79630550703868e+002°)
1.49484924863495e+003	(2.55290414890471e+001dB,1.79627981110294e+002°)
1.50524674741107e+003	(2.55290389177981e+001dB,1.79625393646505e+002°)
1.51571656651041e+003	(2.55290363106603e+001dB,1.79622788188260e+002°)
1.52625920896057e+003	(2.55290336671330e+001dB,1.79620164610456e+002°)
1.53687518128802e+003	(2.55290309867082e+001dB,1.79617522787121e+002°)
1.54756499354240e+003	(2.55290282688710e+001dB,1.79614862591408e+002°)
