Freq.	V(isensa)
1.00000000000000e+001	2.13309482252757e+000,-9.73506456121845e-004
1.00695555005672e+001	2.13309481847695e+000,-9.80277727966728e-004
1.01395947979003e+001	2.13309481436979e+000,-9.87096097710066e-004
1.02101212570719e+001	2.13309481020529e+000,-9.93961892943006e-004
1.02811382665607e+001	2.13309480598266e+000,-1.00087544353568e-003
1.03526492384138e+001	2.13309480170108e+000,-1.00783708165223e-003
1.04246576084112e+001	2.13309479735973e+000,-1.01484714176743e-003
1.04971668362307e+001	2.13309479295778e+000,-1.02190596068232e-003
1.05701804056138e+001	2.13309478849439e+000,-1.02901387754078e-003
1.06437018245336e+001	2.13309478396868e+000,-1.03617123384544e-003
1.07177346253629e+001	2.13309477937980e+000,-1.04337837347434e-003
1.07922823650443e+001	2.13309477472686e+000,-1.05063564269729e-003
1.08673486252606e+001	2.13309477000897e+000,-1.05794339019267e-003
1.09429370126074e+001	2.13309476522521e+000,-1.06530196706405e-003
1.10190511587661e+001	2.13309476037468e+000,-1.07271172685710e-003
1.10956947206785e+001	2.13309475545644e+000,-1.08017302557662e-003
1.11728713807222e+001	2.13309475046954e+000,-1.08768622170367e-003
1.12505848468881e+001	2.13309474541303e+000,-1.09525167621254e-003
1.13288388529580e+001	2.13309474028593e+000,-1.10286975258842e-003
1.14076371586842e+001	2.13309473508726e+000,-1.11054081684475e-003
1.14869835499704e+001	2.13309472981602e+000,-1.11826523754067e-003
1.15668818390529e+001	2.13309472447120e+000,-1.12604338579893e-003
1.16473358646846e+001	2.13309471905177e+000,-1.13387563532359e-003
1.17283494923188e+001	2.13309471355668e+000,-1.14176236241803e-003
1.18099266142953e+001	2.13309470798488e+000,-1.14970394600296e-003
1.18920711500272e+001	2.13309470233531e+000,-1.15770076763481e-003
1.19747870461893e+001	2.13309469660687e+000,-1.16575321152369e-003
1.20580782769076e+001	2.13309469079846e+000,-1.17386166455235e-003
1.21419488439505e+001	2.13309468490897e+000,-1.18202651629443e-003
1.22264027769207e+001	2.13309467893727e+000,-1.19024815903306e-003
1.23114441334492e+001	2.13309467288221e+000,-1.19852698778020e-003
1.23970769993899e+001	2.13309466674261e+000,-1.20686340029515e-003
1.24833054890161e+001	2.13309466051732e+000,-1.21525779710376e-003
1.25701337452183e+001	2.13309465420512e+000,-1.22371058151790e-003
1.26575659397028e+001	2.13309464780481e+000,-1.23222215965456e-003
1.27456062731927e+001	2.13309464131515e+000,-1.24079294045562e-003
1.28342589756291e+001	2.13309463473490e+000,-1.24942333570716e-003
1.29235283063750e+001	2.13309462806279e+000,-1.25811376005967e-003
1.30134185544194e+001	2.13309462129754e+000,-1.26686463104739e-003
1.31039340385837e+001	2.13309461443786e+000,-1.27567636910915e-003
1.31950791077290e+001	2.13309460748242e+000,-1.28454939760784e-003
1.32868581409652e+001	2.13309460042988e+000,-1.29348414285126e-003
1.33792755478612e+001	2.13309459327889e+000,-1.30248103411216e-003
1.34723357686569e+001	2.13309458602808e+000,-1.31154050364919e-003
1.35660432744768e+001	2.13309457867605e+000,-1.32066298672772e-003
1.36604025675440e+001	2.13309457122139e+000,-1.32984892164050e-003
1.37554181813975e+001	2.13309456366267e+000,-1.33909874972875e-003
1.38510946811093e+001	2.13309455599843e+000,-1.34841291540350e-003
1.39474366635041e+001	2.13309454822721e+000,-1.35779186616689e-003
1.40444487573800e+001	2.13309454034750e+000,-1.36723605263366e-003
1.41421356237310e+001	2.13309453235779e+000,-1.37674592855279e-003
1.42405019559708e+001	2.13309452425656e+000,-1.38632195082932e-003
1.43395524801583e+001	2.13309451604223e+000,-1.39596457954626e-003
1.44392919552250e+001	2.13309450771324e+000,-1.40567427798670e-003
1.45397251732032e+001	2.13309449926797e+000,-1.41545151265619e-003
1.46408569594563e+001	2.13309449070482e+000,-1.42529675330497e-003
1.47426921729111e+001	2.13309448202212e+000,-1.43521047295069e-003
1.48452357062905e+001	2.13309447321823e+000,-1.44519314790094e-003
1.49484924863494e+001	2.13309446429143e+000,-1.45524525777646e-003
1.50524674741107e+001	2.13309445524002e+000,-1.46536728553381e-003
1.51571656651040e+001	2.13309444606226e+000,-1.47555971748876e-003
1.52625920896057e+001	2.13309443675638e+000,-1.48582304333985e-003
1.53687518128802e+001	2.13309442732060e+000,-1.49615775619141e-003
1.54756499354240e+001	2.13309441775310e+000,-1.50656435257772e-003
1.55832915932101e+001	2.13309440805204e+000,-1.51704333248677e-003
1.56916819579351e+001	2.13309439821556e+000,-1.52759519938400e-003
1.58008262372676e+001	2.13309438824177e+000,-1.53822046023684e-003
1.59107296750984e+001	2.13309437812874e+000,-1.54891962553891e-003
1.60213975517925e+001	2.13309436787455e+000,-1.55969320933445e-003
1.61328351844426e+001	2.13309435747721e+000,-1.57054172924323e-003
1.62450479271248e+001	2.13309434693473e+000,-1.58146570648532e-003
