v1	Ic(Q1)	Ic(Q2)
-1.000000000000000e+000	4.909269e-007	9.893879e-004
-9.900000000000000e-001	5.303470e-007	9.893477e-004
-9.800000000000000e-001	5.729302e-007	9.893044e-004
-9.700000000000000e-001	6.189298e-007	9.892576e-004
-9.600000000000000e-001	6.686197e-007	9.892071e-004
-9.500000000000000e-001	7.222952e-007	9.891525e-004
-9.400000000000000e-001	7.802756e-007	9.890936e-004
-9.299999999999999e-001	8.429052e-007	9.890300e-004
-9.199999999999999e-001	9.105561e-007	9.889613e-004
-9.099999999999999e-001	9.836299e-007	9.888872e-004
-8.999999999999999e-001	1.062560e-006	9.888071e-004
-8.899999999999999e-001	1.147815e-006	9.887207e-004
-8.799999999999999e-001	1.239900e-006	9.886273e-004
-8.699999999999999e-001	1.339360e-006	9.885266e-004
-8.599999999999999e-001	1.446783e-006	9.884179e-004
-8.499999999999999e-001	1.562806e-006	9.883004e-004
-8.399999999999999e-001	1.688113e-006	9.881736e-004
-8.299999999999999e-001	1.823444e-006	9.880369e-004
-8.199999999999998e-001	1.969597e-006	9.878891e-004
-8.099999999999998e-001	2.127434e-006	9.877296e-004
-7.999999999999998e-001	2.297882e-006	9.875575e-004
-7.899999999999998e-001	2.481944e-006	9.873715e-004
-7.799999999999998e-001	2.680699e-006	9.871710e-004
-7.699999999999998e-001	2.895313e-006	9.869544e-004
-7.599999999999998e-001	3.127041e-006	9.867207e-004
-7.499999999999998e-001	3.377237e-006	9.864683e-004
-7.399999999999998e-001	3.647358e-006	9.861960e-004
-7.299999999999998e-001	3.938978e-006	9.859020e-004
-7.199999999999998e-001	4.253789e-006	9.855848e-004
-7.099999999999997e-001	4.593615e-006	9.852425e-004
-6.999999999999997e-001	4.960419e-006	9.848732e-004
-6.899999999999997e-001	5.356315e-006	9.844746e-004
-6.799999999999997e-001	5.783577e-006	9.840445e-004
-6.699999999999997e-001	6.244654e-006	9.835806e-004
-6.599999999999997e-001	6.742176e-006	9.830801e-004
-6.499999999999997e-001	7.278974e-006	9.825402e-004
-6.399999999999997e-001	7.858087e-006	9.819579e-004
-6.299999999999997e-001	8.482783e-006	9.813299e-004
-6.199999999999997e-001	9.156566e-006	9.806528e-004
-6.099999999999997e-001	9.883202e-006	9.799226e-004
-5.999999999999996e-001	1.066673e-005	9.791354e-004
-5.899999999999996e-001	1.151147e-005	9.782870e-004
-5.799999999999996e-001	1.242206e-005	9.773725e-004
-5.699999999999996e-001	1.340347e-005	9.763871e-004
-5.599999999999996e-001	1.446100e-005	9.753256e-004
-5.499999999999996e-001	1.560033e-005	9.741820e-004
-5.399999999999996e-001	1.682752e-005	9.729506e-004
-5.299999999999996e-001	1.814903e-005	9.716247e-004
-5.199999999999996e-001	1.957177e-005	9.701976e-004
-5.099999999999996e-001	2.110307e-005	9.686617e-004
-4.999999999999996e-001	2.275073e-005	9.670094e-004
-4.899999999999996e-001	2.452306e-005	9.652324e-004
-4.799999999999995e-001	2.642884e-005	9.633218e-004
-4.699999999999995e-001	2.847741e-005	9.612684e-004
-4.599999999999995e-001	3.067860e-005	9.590624e-004
-4.499999999999995e-001	3.304281e-005	9.566932e-004
-4.399999999999995e-001	3.558101e-005	9.541500e-004
-4.299999999999995e-001	3.830472e-005	9.514214e-004
-4.199999999999995e-001	4.122602e-005	9.484951e-004
-4.099999999999995e-001	4.435757e-005	9.453587e-004
-3.999999999999995e-001	4.771256e-005	9.419987e-004
-3.899999999999995e-001	5.130475e-005	9.384017e-004
-3.799999999999995e-001	5.514836e-005	9.345533e-004
-3.699999999999994e-001	5.925816e-005	9.304387e-004
-3.599999999999994e-001	6.364931e-005	9.260430e-004
-3.499999999999994e-001	6.833739e-005	9.213504e-004
-3.399999999999994e-001	7.333828e-005	9.163452e-004
-3.299999999999994e-001	7.866812e-005	9.110112e-004
-3.199999999999994e-001	8.434321e-005	9.053321e-004
-3.099999999999994e-001	9.037992e-005	8.992917e-004
-2.999999999999994e-001	9.679451e-005	8.928735e-004
-2.899999999999994e-001	1.036031e-004	8.860616e-004
-2.799999999999994e-001	1.108214e-004	8.788403e-004
-2.699999999999994e-001	1.184647e-004	8.711942e-004
-2.599999999999993e-001	1.265476e-004	8.631090e-004
-2.499999999999993e-001	1.350837e-004	8.545708e-004
-2.399999999999993e-001	1.440856e-004	8.455670e-004
-2.299999999999993e-001	1.535646e-004	8.360865e-004
-2.199999999999993e-001	1.635307e-004	8.261193e-004
-2.099999999999993e-001	1.739918e-004	8.156574e-004
-1.999999999999993e-001	1.849541e-004	8.046946e-004
-1.899999999999993e-001	1.964217e-004	7.932269e-004
-1.799999999999993e-001	2.083960e-004	7.812527e-004
-1.699999999999993e-001	2.208761e-004	7.687731e-004
-1.599999999999993e-001	2.338583e-004	7.557916e-004
-1.499999999999993e-001	2.473359e-004	7.423148e-004
-1.399999999999992e-001	2.612992e-004	7.283527e-004
-1.299999999999992e-001	2.757353e-004	7.139178e-004
-1.199999999999992e-001	2.906281e-004	6.990265e-004
