v1	V(coll)	V(e)
0.000000000000000e+000	1.000000e+001	2.768172e-011
5.000000000000000e-002	1.000000e+001	1.353067e-010
1.000000000000000e-001	1.000000e+001	1.419869e-009
1.500000000000000e-001	1.000000e+001	8.989528e-009
2.000000000000000e-001	1.000000e+001	5.973735e-008
2.500000000000000e-001	9.999999e+000	4.027479e-007
3.000000000000000e-001	9.999991e+000	2.726735e-006
3.500000000000000e-001	9.999939e+000	1.847892e-005
4.000000000000000e-001	9.999589e+000	1.248689e-004
4.500000000000000e-001	9.997288e+000	8.246184e-004
4.999999999999999e-001	9.984213e+000	4.799346e-003
5.499999999999999e-001	9.937927e+000	1.886870e-002
6.000000000000000e-001	9.850156e+000	4.554850e-002
6.500000000000000e-001	9.735830e+000	8.029974e-002
7.000000000000001e-001	9.607004e+000	1.194588e-001
7.500000000000001e-001	9.470260e+000	1.610258e-001
8.000000000000002e-001	9.327816e+000	2.043257e-001
8.500000000000002e-001	9.181912e+000	2.486781e-001
9.000000000000002e-001	9.033584e+000	2.937687e-001
9.500000000000003e-001	8.883408e+000	3.394214e-001
1.000000000000000e+000	8.731800e+000	3.855102e-001
1.050000000000000e+000	8.579058e+000	4.319452e-001
1.100000000000000e+000	8.425395e+000	4.786607e-001
1.150000000000000e+000	8.270973e+000	5.256078e-001
1.200000000000000e+000	8.115917e+000	5.727490e-001
1.250000000000000e+000	7.960322e+000	6.200547e-001
1.300000000000001e+000	7.804266e+000	6.675018e-001
1.350000000000001e+000	7.647811e+000	7.150713e-001
1.400000000000001e+000	7.491008e+000	7.627477e-001
1.450000000000001e+000	7.333899e+000	8.105181e-001
1.500000000000001e+000	7.176520e+000	8.583718e-001
1.550000000000001e+000	7.018900e+000	9.062997e-001
1.600000000000001e+000	6.861066e+000	9.542940e-001
1.650000000000001e+000	6.703040e+000	1.002348e+000
1.700000000000001e+000	6.544839e+000	1.050456e+000
1.750000000000001e+000	6.386482e+000	1.098613e+000
1.800000000000001e+000	6.227983e+000	1.146814e+000
1.850000000000001e+000	6.069355e+000	1.195055e+000
1.900000000000001e+000	5.910609e+000	1.243334e+000
1.950000000000001e+000	5.751756e+000	1.291646e+000
2.000000000000001e+000	5.592805e+000	1.339990e+000
2.050000000000001e+000	5.433764e+000	1.388362e+000
2.100000000000001e+000	5.274640e+000	1.436760e+000
2.150000000000000e+000	5.115441e+000	1.485183e+000
2.200000000000000e+000	4.956172e+000	1.533628e+000
2.250000000000000e+000	4.796839e+000	1.582094e+000
2.300000000000000e+000	4.637448e+000	1.630579e+000
2.350000000000000e+000	4.478003e+000	1.679082e+000
2.400000000000000e+000	4.318507e+000	1.727601e+000
2.449999999999999e+000	4.158967e+000	1.776136e+000
2.499999999999999e+000	3.999384e+000	1.824685e+000
2.549999999999999e+000	3.839763e+000	1.873246e+000
2.599999999999999e+000	3.680106e+000	1.921821e+000
2.649999999999999e+000	3.520417e+000	1.970406e+000
2.699999999999998e+000	3.360699e+000	2.019001e+000
2.749999999999998e+000	3.200954e+000	2.067607e+000
2.799999999999998e+000	3.041185e+000	2.116221e+000
2.849999999999998e+000	2.881394e+000	2.164844e+000
2.899999999999998e+000	2.721583e+000	2.213474e+000
2.949999999999998e+000	2.561876e+000	2.262082e+000
2.999999999999997e+000	2.439826e+000	2.301926e+000
3.049999999999997e+000	2.416122e+000	2.318865e+000
3.099999999999997e+000	2.412128e+000	2.331214e+000
3.149999999999997e+000	2.412828e+000	2.342473e+000
3.199999999999997e+000	2.416806e+000	2.352972e+000
3.249999999999996e+000	2.422078e+000	2.363175e+000
3.299999999999996e+000	2.428026e+000	2.373225e+000
3.349999999999996e+000	2.434554e+000	2.383146e+000
3.399999999999996e+000	2.441524e+000	2.392968e+000
3.449999999999996e+000	2.448829e+000	2.402716e+000
3.499999999999996e+000	2.456397e+000	2.412408e+000
3.549999999999995e+000	2.464177e+000	2.422055e+000
3.599999999999995e+000	2.472129e+000	2.431666e+000
3.649999999999995e+000	2.480226e+000	2.441247e+000
3.699999999999995e+000	2.488444e+000	2.450803e+000
3.749999999999995e+000	2.496766e+000	2.460339e+000
3.799999999999995e+000	2.505177e+000	2.469858e+000
3.849999999999994e+000	2.513667e+000	2.479362e+000
3.899999999999994e+000	2.522225e+000	2.488853e+000
3.949999999999994e+000	2.530843e+000	2.498333e+000
3.999999999999994e+000	2.539515e+000	2.507803e+000
4.049999999999994e+000	2.548235e+000	2.517265e+000
4.099999999999993e+000	2.556998e+000	2.526720e+000
4.149999999999993e+000	2.565799e+000	2.536168e+000
4.199999999999993e+000	2.574636e+000	2.545611e+000
4.249999999999993e+000	2.583505e+000	2.555049e+000
4.299999999999993e+000	2.592403e+000	2.564482e+000
4.349999999999993e+000	2.601328e+000	2.573911e+000
4.399999999999992e+000	2.610277e+000	2.583337e+000
4.449999999999992e+000	2.619249e+000	2.592760e+000
4.499999999999992e+000	2.628242e+000	2.602179e+000
4.549999999999992e+000	2.637254e+000	2.611596e+000
4.599999999999992e+000	2.646283e+000	2.621011e+000
4.649999999999992e+000	2.655330e+000	2.630424e+000
4.699999999999991e+000	2.664392e+000	2.639835e+000
4.749999999999991e+000	2.673469e+000	2.649245e+000
4.799999999999991e+000	2.682559e+000	2.658653e+000
4.849999999999991e+000	2.691662e+000	2.668059e+000
4.899999999999991e+000	2.700777e+000	2.677464e+000
4.949999999999990e+000	2.709903e+000	2.686869e+000
4.999999999999990e+000	2.719039e+000	2.696272e+000
5.049999999999990e+000	2.728186e+000	2.705674e+000
5.099999999999990e+000	2.737342e+000	2.715076e+000
5.149999999999990e+000	2.746507e+000	2.724477e+000
5.199999999999990e+000	2.755680e+000	2.733877e+000
5.249999999999989e+000	2.764861e+000	2.743276e+000
5.299999999999989e+000	2.774050e+000	2.752675e+000
5.349999999999989e+000	2.783246e+000	2.762074e+000
5.399999999999989e+000	2.792449e+000	2.771472e+000
5.449999999999989e+000	2.801658e+000	2.780870e+000
5.499999999999989e+000	2.810874e+000	2.790267e+000
5.549999999999988e+000	2.820095e+000	2.799664e+000
5.599999999999988e+000	2.829322e+000	2.809062e+000
5.649999999999988e+000	2.838554e+000	2.818458e+000
5.699999999999988e+000	2.847792e+000	2.827855e+000
5.749999999999988e+000	2.857034e+000	2.837251e+000
5.799999999999987e+000	2.866281e+000	2.846647e+000
5.849999999999987e+000	2.875533e+000	2.856044e+000
5.899999999999987e+000	2.884789e+000	2.865439e+000
5.949999999999987e+000	2.894049e+000	2.874835e+000
6.000000000000000e+000	2.903313e+000	2.884231e+000
