vin	V(col)	V(em)
-1,000000000000000e+000	1,000000e+001	-3,010867e-009
-9,500000000000000e-001	1,000000e+001	-2,860867e-009
-8,999999999999999e-001	1,000000e+001	-2,710867e-009
-8,499999999999999e-001	1,000000e+001	-2,560867e-009
-7,999999999999998e-001	1,000000e+001	-2,410867e-009
-7,499999999999998e-001	1,000000e+001	-2,260867e-009
-6,999999999999997e-001	1,000000e+001	-2,110867e-009
-6,499999999999997e-001	1,000000e+001	-1,960867e-009
-5,999999999999996e-001	1,000000e+001	-1,810867e-009
-5,499999999999996e-001	1,000000e+001	-1,660868e-009
-4,999999999999996e-001	1,000000e+001	-1,510868e-009
-4,499999999999996e-001	1,000000e+001	-1,360868e-009
-3,999999999999996e-001	1,000000e+001	-1,210867e-009
-3,499999999999996e-001	1,000000e+001	-1,060866e-009
-2,999999999999997e-001	1,000000e+001	-9,108615e-010
-2,499999999999997e-001	1,000000e+001	-7,608423e-010
-1,999999999999997e-001	1,000000e+001	-6,107587e-010
-1,499999999999997e-001	1,000000e+001	-4,603554e-010
-9,999999999999969e-002	1,000000e+001	-3,081964e-010
-4,999999999999968e-002	1,000000e+001	-1,455668e-010
3,191891195797325e-016	1,000000e+001	8,306639e-011
5,000000000000032e-002	1,000000e+001	7,420085e-010
1,000000000000003e-001	1,000000e+001	4,260100e-009
1,500000000000003e-001	1,000000e+001	2,697174e-008
2,000000000000003e-001	9,999999e+000	1,792312e-007
2,500000000000003e-001	9,999996e+000	1,208305e-006
3,000000000000003e-001	9,999972e+000	8,177966e-006
3,500000000000003e-001	9,999816e+000	5,531101e-005
4,000000000000003e-001	9,998775e+000	3,690558e-004
4,500000000000003e-001	9,992462e+000	2,268765e-003
5,000000000000003e-001	9,966068e+000	1,021222e-002
5,500000000000004e-001	9,907319e+000	2,789201e-002
6,000000000000004e-001	9,824808e+000	5,272248e-002
6,500000000000005e-001	9,729158e+000	8,150662e-002
7,000000000000005e-001	9,626610e+000	1,123671e-001
7,500000000000006e-001	9,519132e+000	1,447111e-001
8,000000000000006e-001	9,408809e+000	1,779115e-001
8,500000000000006e-001	9,296575e+000	2,116877e-001
9,000000000000007e-001	9,182922e+000	2,458910e-001
9,500000000000007e-001	9,068207e+000	2,804146e-001
1,000000000000001e+000	8,952682e+000	3,151820e-001
1,050000000000001e+000	8,836533e+000	3,501381e-001
1,100000000000001e+000	8,719894e+000	3,852419e-001
1,150000000000001e+000	8,602870e+000	4,204621e-001
1,200000000000001e+000	8,485542e+000	4,557742e-001
1,250000000000001e+000	8,367975e+000	4,911590e-001
1,300000000000001e+000	8,250220e+000	5,266007e-001
1,350000000000001e+000	8,132319e+000	5,620866e-001
1,400000000000001e+000	8,014310e+000	5,976060e-001
1,450000000000001e+000	7,896221e+000	6,331500e-001
1,500000000000001e+000	7,778076e+000	6,687110e-001
1,550000000000001e+000	7,659898e+000	7,042826e-001
1,600000000000001e+000	7,541705e+000	7,398593e-001
1,650000000000001e+000	7,423513e+000	7,754362e-001
1,700000000000001e+000	7,305337e+000	8,110091e-001
1,750000000000001e+000	7,187188e+000	8,465742e-001
1,800000000000001e+000	7,069078e+000	8,821283e-001
1,850000000000001e+000	6,951016e+000	9,176683e-001
1,900000000000002e+000	6,833011e+000	9,531918e-001
1,950000000000002e+000	6,715071e+000	9,886962e-001
2,000000000000001e+000	6,597203e+000	1,024180e+000
