vbg	V(b,a)
	0.000000e+000	0.000000e+000
	1.000000e-002	-1.806766e-007
	2.000000e-002	-3.613532e-007
	3.000000e-002	-5.420297e-007
	4.000000e-002	-7.227063e-007
	5.000000e-002	-9.052455e-007
	6.000000e-002	-1.084059e-006
	7.000000e-002	-1.266599e-006
	8.000000e-002	-1.452863e-006
	9.000000e-002	-1.631677e-006
	1.000000e-001	-1.817942e-006
	1.100000e-001	-2.004206e-006
	1.200000e-001	-2.197921e-006
	1.300000e-001	-2.399087e-006
	1.400000e-001	-2.592802e-006
	1.500000e-001	-2.786517e-006
	1.600000e-001	-2.995133e-006
	1.700000e-001	-3.218651e-006
	1.800000e-001	-3.457069e-006
	1.900000e-001	-3.695488e-006
	2.000000e-001	-3.993511e-006
	2.100000e-001	-4.336238e-006
	2.200000e-001	-4.738569e-006
	2.300000e-001	-5.215406e-006
	2.400000e-001	-5.841255e-006
	2.500000e-001	-6.645918e-006
	2.600000e-001	-7.718801e-006
	2.700000e-001	-9.149313e-006
	2.800000e-001	-1.111627e-005
	2.900000e-001	-1.388788e-005
	3.000000e-001	-1.785159e-005
	3.100000e-001	-2.342463e-005
	3.200000e-001	-3.144145e-005
	3.300000e-001	-4.294515e-005
	3.400000e-001	-5.957484e-005
	3.500000e-001	-8.359551e-005
	3.600000e-001	-1.184046e-004
	3.700000e-001	-1.688004e-004
	3.800000e-001	-2.418458e-004
	3.900000e-001	-3.474057e-004
	4.000000e-001	-4.996955e-004
	4.100000e-001	-7.182062e-004
	4.200000e-001	-1.029462e-003
	4.300000e-001	-1.468062e-003
	4.400000e-001	-2.077222e-003
	4.500000e-001	-2.906799e-003
	4.600000e-001	-4.008681e-003
	4.700000e-001	-5.428493e-003
	4.800000e-001	-7.194638e-003
	4.900000e-001	-9.307712e-003
	5.000000e-001	-1.173392e-002
	5.100000e-001	-1.440486e-002
	5.200000e-001	-1.722428e-002
	5.300000e-001	-2.008092e-002
	5.400000e-001	-2.286434e-002
	5.500000e-001	-2.547938e-002
	5.600000e-001	-2.785653e-002
	5.700000e-001	-2.995551e-002
	5.800000e-001	-3.176212e-002
	5.900000e-001	-3.328252e-002
	6.000000e-001	-3.453529e-002
	6.100000e-001	-3.554547e-002
	6.200000e-001	-3.634042e-002
	6.300000e-001	-3.694671e-002
	6.400000e-001	-3.738886e-002
	6.500000e-001	-3.768867e-002
	6.600000e-001	-3.786516e-002
	6.700000e-001	-3.793484e-002
	6.800000e-001	-3.791159e-002
	6.900000e-001	-3.780758e-002
	7.000000e-001	-3.763294e-002
	7.100000e-001	-3.739631e-002
	7.200000e-001	-3.710508e-002
	7.300000e-001	-3.676569e-002
	7.400000e-001	-3.638357e-002
	7.500000e-001	-3.596330e-002
	7.600000e-001	-3.550911e-002
	7.700000e-001	-3.502446e-002
	7.800000e-001	-3.451234e-002
	7.900000e-001	-3.397554e-002
	8.000000e-001	-3.341627e-002
	8.100000e-001	-3.283674e-002
	8.200000e-001	-3.223866e-002
	8.300000e-001	-3.162372e-002
	8.400000e-001	-3.099328e-002
	8.500000e-001	-3.034866e-002
	8.600000e-001	-2.969104e-002
	8.700000e-001	-2.902138e-002
	8.800000e-001	-2.834058e-002
	8.900000e-001	-2.764952e-002
	9.000000e-001	-2.694887e-002
	9.100000e-001	-2.623940e-002
	9.200000e-001	-2.552170e-002
	9.300000e-001	-2.479631e-002
	9.400000e-001	-2.406371e-002
	9.500000e-001	-2.332437e-002
	9.600000e-001	-2.257878e-002
	9.700000e-001	-2.182722e-002
	9.800000e-001	-2.107018e-002
	9.900000e-001	-2.030784e-002
	1.000000e+000	-1.954067e-002
	1.010000e+000	-1.876885e-002
	1.020000e+000	-1.799256e-002
	1.030000e+000	-1.721215e-002
	1.040000e+000	-1.642787e-002
	1.050000e+000	-1.563984e-002
	1.060000e+000	-1.484823e-002
	1.070000e+000	-1.405334e-002
	1.080000e+000	-1.325524e-002
	1.090000e+000	-1.245415e-002
	1.100000e+000	-1.165009e-002
	1.110000e+000	-1.084334e-002
	1.120000e+000	-1.003391e-002
	1.130000e+000	-9.222031e-003
	1.140000e+000	-8.407772e-003
	1.150000e+000	-7.591188e-003
	1.160000e+000	-6.772399e-003
	1.170000e+000	-5.951524e-003
	1.180000e+000	-5.128682e-003
	1.190000e+000	-4.303932e-003
	1.200000e+000	-3.477275e-003
	1.210000e+000	-2.648890e-003
	1.220000e+000	-1.818717e-003
	1.230000e+000	-9.869933e-004
	1.240000e+000	-1.536012e-004
	1.250000e+000	6.812215e-004
	1.260000e+000	1.517594e-003
	1.270000e+000	2.355337e-003
	1.280000e+000	3.194451e-003
	1.290000e+000	4.034817e-003
	1.300000e+000	4.876494e-003
	1.310000e+000	5.719364e-003
	1.320000e+000	6.563425e-003
	1.330000e+000	7.408679e-003
	1.340000e+000	8.255005e-003
	1.350000e+000	9.102345e-003
	1.360000e+000	9.950757e-003
	1.370000e+000	1.080018e-002
	1.380000e+000	1.165056e-002
	1.390000e+000	1.250184e-002
	1.400000e+000	1.335412e-002
	1.410000e+000	1.420718e-002
	1.420000e+000	1.506120e-002
	1.430000e+000	1.591599e-002
	1.440000e+000	1.677155e-002
	1.450000e+000	1.762795e-002
	1.460000e+000	1.848513e-002
	1.470000e+000	1.934296e-002
	1.480000e+000	2.020162e-002
	1.490000e+000	2.106088e-002
	1.500000e+000	2.192086e-002
	1.510000e+000	2.278149e-002
	1.520000e+000	2.364278e-002
	1.530000e+000	2.450472e-002
	1.540000e+000	2.536726e-002
	1.550000e+000	2.623039e-002
	1.560000e+000	2.709407e-002
	1.570000e+000	2.795833e-002
	1.580000e+000	2.882314e-002
	1.590000e+000	2.968848e-002
	1.600000e+000	3.055435e-002
	1.610000e+000	3.142077e-002
	1.620000e+000	3.228766e-002
	1.630000e+000	3.315502e-002
	1.640000e+000	3.402287e-002
	1.650000e+000	3.489119e-002
	1.660000e+000	3.575999e-002
	1.670000e+000	3.662914e-002
	1.680000e+000	3.749883e-002
	1.690000e+000	3.836888e-002
	1.700000e+000	3.923941e-002
