Freq.	a	b	gain
1.00000e+003	(-4.60397e+001dB,-8.92798e+001°)	(-8.47512e+001dB,-9.81632e+001°)	(3.87115e+001dB,8.88336e+000°)
1.00696e+003	(-4.60397e+001dB,-8.92748e+001°)	(-8.47586e+001dB,-9.82111e+001°)	(3.87189e+001dB,8.93628e+000°)
1.01396e+003	(-4.60397e+001dB,-8.92698e+001°)	(-8.47661e+001dB,-9.82592e+001°)	(3.87264e+001dB,8.98939e+000°)
1.02101e+003	(-4.60397e+001dB,-8.92647e+001°)	(-8.47736e+001dB,-9.83074e+001°)	(3.87340e+001dB,9.04269e+000°)
1.02811e+003	(-4.60397e+001dB,-8.92596e+001°)	(-8.47813e+001dB,-9.83558e+001°)	(3.87417e+001dB,9.09618e+000°)
1.03526e+003	(-4.60397e+001dB,-8.92545e+001°)	(-8.47891e+001dB,-9.84043e+001°)	(3.87495e+001dB,9.14986e+000°)
1.04247e+003	(-4.60397e+001dB,-8.92493e+001°)	(-8.47970e+001dB,-9.84530e+001°)	(3.87573e+001dB,9.20373e+000°)
1.04972e+003	(-4.60397e+001dB,-8.92440e+001°)	(-8.48050e+001dB,-9.85018e+001°)	(3.87653e+001dB,9.25777e+000°)
1.05702e+003	(-4.60397e+001dB,-8.92388e+001°)	(-8.48131e+001dB,-9.85508e+001°)	(3.87734e+001dB,9.31200e+000°)
1.06437e+003	(-4.60397e+001dB,-8.92335e+001°)	(-8.48213e+001dB,-9.85999e+001°)	(3.87817e+001dB,9.36641e+000°)
1.07177e+003	(-4.60397e+001dB,-8.92282e+001°)	(-8.48296e+001dB,-9.86492e+001°)	(3.87900e+001dB,9.42100e+000°)
1.07923e+003	(-4.60397e+001dB,-8.92228e+001°)	(-8.48381e+001dB,-9.86985e+001°)	(3.87984e+001dB,9.47576e+000°)
1.08673e+003	(-4.60397e+001dB,-8.92174e+001°)	(-8.48466e+001dB,-9.87481e+001°)	(3.88069e+001dB,9.53068e+000°)
1.09429e+003	(-4.60397e+001dB,-8.92119e+001°)	(-8.48553e+001dB,-9.87977e+001°)	(3.88156e+001dB,9.58578e+000°)
1.10191e+003	(-4.60397e+001dB,-8.92064e+001°)	(-8.48640e+001dB,-9.88475e+001°)	(3.88244e+001dB,9.64105e+000°)
1.10957e+003	(-4.60397e+001dB,-8.92009e+001°)	(-8.48729e+001dB,-9.88974e+001°)	(3.88332e+001dB,9.69644e+000°)
1.11729e+003	(-4.60397e+001dB,-8.91954e+001°)	(-8.48819e+001dB,-9.89474e+001°)	(3.88422e+001dB,9.75204e+000°)
1.12506e+003	(-4.60397e+001dB,-8.91897e+001°)	(-8.48910e+001dB,-9.89976e+001°)	(3.88514e+001dB,9.80782e+000°)
1.13288e+003	(-4.60397e+001dB,-8.91842e+001°)	(-8.49003e+001dB,-9.90478e+001°)	(3.88606e+001dB,9.86363e+000°)
1.14076e+003	(-4.60397e+001dB,-8.91785e+001°)	(-8.49096e+001dB,-9.90982e+001°)	(3.88700e+001dB,9.91969e+000°)
1.14870e+003	(-4.60397e+001dB,-8.91728e+001°)	(-8.49191e+001dB,-9.91486e+001°)	(3.88795e+001dB,9.97589e+000°)
1.15669e+003	(-4.60397e+001dB,-8.91670e+001°)	(-8.49287e+001dB,-9.91992e+001°)	(3.88891e+001dB,1.00322e+001°)
1.16473e+003	(-4.60397e+001dB,-8.91612e+001°)	(-8.49385e+001dB,-9.92499e+001°)	(3.88988e+001dB,1.00887e+001°)
1.17283e+003	(-4.60397e+001dB,-8.91554e+001°)	(-8.49483e+001dB,-9.93006e+001°)	(3.89087e+001dB,1.01452e+001°)
1.18099e+003	(-4.60397e+001dB,-8.91495e+001°)	(-8.49583e+001dB,-9.93515e+001°)	(3.89187e+001dB,1.02019e+001°)
1.18921e+003	(-4.60397e+001dB,-8.91436e+001°)	(-8.49685e+001dB,-9.94024e+001°)	(3.89288e+001dB,1.02588e+001°)
1.19748e+003	(-4.60397e+001dB,-8.91376e+001°)	(-8.49787e+001dB,-9.94534e+001°)	(3.89391e+001dB,1.03157e+001°)
1.20581e+003	(-4.60397e+001dB,-8.91316e+001°)	(-8.49891e+001dB,-9.95045e+001°)	(3.89494e+001dB,1.03728e+001°)
1.21419e+003	(-4.60397e+001dB,-8.91256e+001°)	(-8.49997e+001dB,-9.95556e+001°)	(3.89600e+001dB,1.04300e+001°)
1.22264e+003	(-4.60397e+001dB,-8.91195e+001°)	(-8.50103e+001dB,-9.96068e+001°)	(3.89707e+001dB,1.04873e+001°)
1.23114e+003	(-4.60397e+001dB,-8.91134e+001°)	(-8.50211e+001dB,-9.96581e+001°)	(3.89815e+001dB,1.05447e+001°)
1.23971e+003	(-4.60397e+001dB,-8.91072e+001°)	(-8.50321e+001dB,-9.97094e+001°)	(3.89924e+001dB,1.06021e+001°)
1.24833e+003	(-4.60397e+001dB,-8.91010e+001°)	(-8.50432e+001dB,-9.97607e+001°)	(3.90035e+001dB,1.06597e+001°)
1.25701e+003	(-4.60397e+001dB,-8.90948e+001°)	(-8.50544e+001dB,-9.98121e+001°)	(3.90147e+001dB,1.07174e+001°)
1.26576e+003	(-4.60397e+001dB,-8.90885e+001°)	(-8.50658e+001dB,-9.98636e+001°)	(3.90261e+001dB,1.07751e+001°)
1.27456e+003	(-4.60397e+001dB,-8.90821e+001°)	(-8.50773e+001dB,-9.99151e+001°)	(3.90377e+001dB,1.08329e+001°)
1.28343e+003	(-4.60397e+001dB,-8.90757e+001°)	(-8.50890e+001dB,-9.99666e+001°)	(3.90494e+001dB,1.08908e+001°)
1.29235e+003	(-4.60397e+001dB,-8.90693e+001°)	(-8.51009e+001dB,-1.00018e+002°)	(3.90612e+001dB,1.09488e+001°)
1.30134e+003	(-4.60397e+001dB,-8.90628e+001°)	(-8.51128e+001dB,-1.00070e+002°)	(3.90732e+001dB,1.10068e+001°)
1.31039e+003	(-4.60397e+001dB,-8.90563e+001°)	(-8.51250e+001dB,-1.00121e+002°)	(3.90853e+001dB,1.10648e+001°)
1.31951e+003	(-4.60397e+001dB,-8.90498e+001°)	(-8.51373e+001dB,-1.00173e+002°)	(3.90976e+001dB,1.11229e+001°)
1.32869e+003	(-4.60397e+001dB,-8.90432e+001°)	(-8.51498e+001dB,-1.00224e+002°)	(3.91101e+001dB,1.11811e+001°)
1.33793e+003	(-4.60397e+001dB,-8.90365e+001°)	(-8.51624e+001dB,-1.00276e+002°)	(3.91227e+001dB,1.12392e+001°)
1.34723e+003	(-4.60397e+001dB,-8.90298e+001°)	(-8.51752e+001dB,-1.00327e+002°)	(3.91355e+001dB,1.12974e+001°)
1.35660e+003	(-4.60397e+001dB,-8.90231e+001°)	(-8.51881e+001dB,-1.00379e+002°)	(3.91485e+001dB,1.13556e+001°)
1.36604e+003	(-4.60397e+001dB,-8.90163e+001°)	(-8.52013e+001dB,-1.00430e+002°)	(3.91616e+001dB,1.14138e+001°)
