frequency	V(inoise)	V(onoise)
1.000000000000000e-001	8.248805e-007	5.405126e-009
1.023292992280754e-001	8.061377e-007	5.404082e-009
1.047128548050900e-001	7.878224e-007	5.402990e-009
1.071519305237607e-001	7.699248e-007	5.401848e-009
1.096478196143185e-001	7.524354e-007	5.400652e-009
1.122018454301964e-001	7.353449e-007	5.399402e-009
1.148153621496883e-001	7.186444e-007	5.398094e-009
1.174897554939530e-001	7.023248e-007	5.396725e-009
1.202264434617413e-001	6.863777e-007	5.395293e-009
1.230268770812382e-001	6.707945e-007	5.393796e-009
1.258925411794167e-001	6.555669e-007	5.392229e-009
1.288249551693134e-001	6.406869e-007	5.390591e-009
1.318256738556407e-001	6.261466e-007	5.388877e-009
1.348962882591653e-001	6.119384e-007	5.387085e-009
1.380384264602884e-001	5.980546e-007	5.385211e-009
1.412537544622754e-001	5.844878e-007	5.383251e-009
1.445439770745927e-001	5.712309e-007	5.381202e-009
1.479108388168207e-001	5.582770e-007	5.379060e-009
1.513561248436207e-001	5.456190e-007	5.376820e-009
1.548816618912480e-001	5.332503e-007	5.374479e-009
1.584893192461112e-001	5.211643e-007	5.372031e-009
1.621810097358929e-001	5.093547e-007	5.369472e-009
1.659586907437559e-001	4.978152e-007	5.366799e-009
1.698243652461743e-001	4.865395e-007	5.364004e-009
1.737800828749374e-001	4.755219e-007	5.361084e-009
1.778279410038921e-001	4.647563e-007	5.358034e-009
1.819700858609982e-001	4.542372e-007	5.354846e-009
1.862087136662866e-001	4.439589e-007	5.351516e-009
1.905460717963245e-001	4.339160e-007	5.348038e-009
1.949844599758043e-001	4.241031e-007	5.344405e-009
1.995262314968878e-001	4.145151e-007	5.340612e-009
2.041737944669527e-001	4.051469e-007	5.336650e-009
2.089296130854037e-001	3.959935e-007	5.332515e-009
2.137962089502230e-001	3.870500e-007	5.328197e-009
2.187761623949550e-001	3.783117e-007	5.323691e-009
2.238721138568337e-001	3.697740e-007	5.318989e-009
2.290867652767770e-001	3.614324e-007	5.314082e-009
2.344228815319919e-001	3.532823e-007	5.308963e-009
2.398832919019487e-001	3.453196e-007	5.303623e-009
2.454708915685027e-001	3.375399e-007	5.298054e-009
2.511886431509577e-001	3.299392e-007	5.292247e-009
2.570395782768861e-001	3.225134e-007	5.286193e-009
2.630267991895379e-001	3.152586e-007	5.279882e-009
2.691534803926912e-001	3.081709e-007	5.273306e-009
2.754228703338163e-001	3.012466e-007	5.266454e-009
2.818382931264450e-001	2.944819e-007	5.259316e-009
2.884031503126602e-001	2.878734e-007	5.251883e-009
2.951209226666382e-001	2.814175e-007	5.244143e-009
3.019951720402012e-001	2.751108e-007	5.236087e-009
3.090295432513586e-001	2.689498e-007	5.227702e-009
3.162277660168375e-001	2.629315e-007	5.218979e-009
