frequency	V(inoise)	V(onoise)
1.000000000000000e-001	7.477061e-007	7.467923e-008
1.023292992280754e-001	7.306862e-007	7.466168e-008
1.047128548050900e-001	7.140538e-007	7.464331e-008
1.071519305237607e-001	6.977999e-007	7.462410e-008
1.096478196143185e-001	6.819161e-007	7.460400e-008
1.122018454301964e-001	6.663938e-007	7.458296e-008
1.148153621496883e-001	6.512248e-007	7.456095e-008
1.174897554939530e-001	6.364011e-007	7.453792e-008
1.202264434617413e-001	6.219149e-007	7.451384e-008
1.230268770812382e-001	6.077584e-007	7.448865e-008
1.258925411794167e-001	5.939241e-007	7.446229e-008
1.288249551693134e-001	5.804047e-007	7.443472e-008
1.318256738556407e-001	5.671931e-007	7.440588e-008
1.348962882591653e-001	5.542822e-007	7.437573e-008
1.380384264602884e-001	5.416652e-007	7.434419e-008
1.412537544622754e-001	5.293354e-007	7.431120e-008
1.445439770745927e-001	5.172863e-007	7.427671e-008
1.479108388168207e-001	5.055114e-007	7.424065e-008
1.513561248436207e-001	4.940046e-007	7.420294e-008
1.548816618912480e-001	4.827596e-007	7.416351e-008
1.584893192461112e-001	4.717707e-007	7.412230e-008
1.621810097358929e-001	4.610318e-007	7.407921e-008
1.659586907437559e-001	4.505375e-007	7.403418e-008
1.698243652461743e-001	4.402820e-007	7.398711e-008
1.737800828749374e-001	4.302599e-007	7.393792e-008
1.778279410038921e-001	4.204661e-007	7.388651e-008
1.819700858609982e-001	4.108951e-007	7.383280e-008
1.862087136662866e-001	4.015420e-007	7.377668e-008
1.905460717963245e-001	3.924017e-007	7.371806e-008
1.949844599758043e-001	3.834696e-007	7.365682e-008
1.995262314968878e-001	3.747408e-007	7.359286e-008
2.041737944669527e-001	3.662106e-007	7.352606e-008
2.089296130854037e-001	3.578747e-007	7.345631e-008
2.137962089502230e-001	3.497284e-007	7.338348e-008
2.187761623949550e-001	3.417676e-007	7.330745e-008
2.238721138568337e-001	3.339881e-007	7.322809e-008
2.290867652767770e-001	3.263856e-007	7.314527e-008
2.344228815319919e-001	3.189561e-007	7.305885e-008
2.398832919019487e-001	3.116958e-007	7.296868e-008
2.454708915685027e-001	3.046007e-007	7.287462e-008
2.511886431509577e-001	2.976672e-007	7.277651e-008
2.570395782768861e-001	2.908914e-007	7.267420e-008
2.630267991895379e-001	2.842699e-007	7.256754e-008
2.691534803926912e-001	2.777992e-007	7.245634e-008
2.754228703338163e-001	2.714757e-007	7.234046e-008
2.818382931264450e-001	2.652961e-007	7.221970e-008
2.884031503126602e-001	2.592573e-007	7.209390e-008
2.951209226666382e-001	2.533558e-007	7.196287e-008
3.019951720402012e-001	2.475888e-007	7.182643e-008
3.090295432513586e-001	2.419530e-007	7.168440e-008
3.162277660168375e-001	2.364454e-007	7.153656e-008
3.235936569296278e-001	2.310633e-007	7.138274e-008
3.311311214825907e-001	2.258036e-007	7.122272e-008
3.388441561392021e-001	2.206637e-007	7.105631e-008
3.467368504525312e-001	2.156408e-007	7.088330e-008
3.548133892335750e-001	2.107322e-007	7.070349e-008
3.630780547701009e-001	2.059354e-007	7.051666e-008
3.715352290971720e-001	2.012477e-007	7.032260e-008
3.801893963205607e-001	1.966667e-007	7.012110e-008
3.890451449942800e-001	1.921901e-007	6.991196e-008
3.981071705534967e-001	1.878153e-007	6.969495e-008
4.073802778041121e-001	1.835401e-007	6.946986e-008
4.168693834703348e-001	1.793622e-007	6.923650e-008
4.265795188015920e-001	1.752794e-007	6.899463e-008
4.365158322401653e-001	1.712896e-007	6.874406e-008
4.466835921509624e-001	1.673906e-007	6.848459e-008
4.570881896148742e-001	1.635803e-007	6.821602e-008
4.677351412871974e-001	1.598567e-007	6.793815e-008
4.786300923226375e-001	1.562180e-007	6.765078e-008
4.897788193684454e-001	1.526620e-007	6.735375e-008
5.011872336272715e-001	1.491870e-007	6.704688e-008
