frequency	V(inoise)	V(onoise)
1.000000000000000e-001	7.492892e-007	7.483733e-008
1.023292992280754e-001	7.322341e-007	7.481982e-008
1.047128548050900e-001	7.155671e-007	7.480149e-008
1.071519305237607e-001	6.992796e-007	7.478232e-008
1.096478196143185e-001	6.833628e-007	7.476226e-008
1.122018454301964e-001	6.678084e-007	7.474127e-008
1.148153621496883e-001	6.526080e-007	7.471930e-008
1.174897554939530e-001	6.377537e-007	7.469633e-008
1.202264434617413e-001	6.232375e-007	7.467229e-008
1.230268770812382e-001	6.090517e-007	7.464715e-008
1.258925411794167e-001	5.951889e-007	7.462085e-008
1.288249551693134e-001	5.816417e-007	7.459334e-008
1.318256738556407e-001	5.684028e-007	7.456457e-008
1.348962882591653e-001	5.554654e-007	7.453447e-008
1.380384264602884e-001	5.428224e-007	7.450300e-008
1.412537544622754e-001	5.304673e-007	7.447009e-008
1.445439770745927e-001	5.183934e-007	7.443567e-008
1.479108388168207e-001	5.065943e-007	7.439968e-008
1.513561248436207e-001	4.950639e-007	7.436205e-008
1.548816618912480e-001	4.837960e-007	7.432271e-008
1.584893192461112e-001	4.727846e-007	7.428159e-008
1.621810097358929e-001	4.620238e-007	7.423859e-008
1.659586907437559e-001	4.515081e-007	7.419366e-008
1.698243652461743e-001	4.412317e-007	7.414669e-008
1.737800828749374e-001	4.311893e-007	7.409761e-008
1.778279410038921e-001	4.213755e-007	7.404631e-008
1.819700858609982e-001	4.117851e-007	7.399272e-008
1.862087136662866e-001	4.024131e-007	7.393672e-008
1.905460717963245e-001	3.932544e-007	7.387822e-008
1.949844599758043e-001	3.843042e-007	7.381711e-008
1.995262314968878e-001	3.755578e-007	7.375329e-008
2.041737944669527e-001	3.670105e-007	7.368664e-008
2.089296130854037e-001	3.586578e-007	7.361704e-008
2.137962089502230e-001	3.504953e-007	7.354437e-008
2.187761623949550e-001	3.425186e-007	7.346851e-008
2.238721138568337e-001	3.347235e-007	7.338933e-008
2.290867652767770e-001	3.271059e-007	7.330669e-008
2.344228815319919e-001	3.196617e-007	7.322046e-008
2.398832919019487e-001	3.123870e-007	7.313049e-008
2.454708915685027e-001	3.052780e-007	7.303663e-008
2.511886431509577e-001	2.983308e-007	7.293875e-008
2.570395782768861e-001	2.915418e-007	7.283666e-008
2.630267991895379e-001	2.849073e-007	7.273024e-008
2.691534803926912e-001	2.784240e-007	7.261929e-008
2.754228703338163e-001	2.720882e-007	7.250367e-008
2.818382931264450e-001	2.658967e-007	7.238318e-008
2.884031503126602e-001	2.598462e-007	7.225767e-008
2.951209226666382e-001	2.539335e-007	7.212694e-008
3.019951720402012e-001	2.481554e-007	7.199081e-008
3.090295432513586e-001	2.425089e-007	7.184910e-008
3.162277660168375e-001	2.369910e-007	7.170161e-008
3.235936569296278e-001	2.315987e-007	7.154813e-008
3.311311214825907e-001	2.263292e-007	7.138848e-008
3.388441561392021e-001	2.211797e-007	7.122247e-008
3.467368504525312e-001	2.161475e-007	7.104986e-008
3.548133892335750e-001	2.112299e-007	7.087047e-008
3.630780547701009e-001	2.064243e-007	7.068408e-008
3.715352290971720e-001	2.017282e-007	7.049049e-008
